ID,Disease,Name,MeSH_ID,Description
503,C0039240,"Tachycardia, Supraventricular",D013617,"Supraventricular tachycardia (SVT) is a heterogeneous group of rapid atrial or atrioventricular junctional arrhythmias arising above the ventricles, most commonly atrioventricular nodal re-entrant tachycardia, atrioventricular re-entrant tachycardia associated with accessory pathways as in Wolff-Parkinson-White syndrome, and focal or macroreentrant atrial tachycardias including atrial flutter. Its molecular basis reflects disordered impulse generation or re-entry involving ion-channel and conduction-system proteins; representative genetic associations include PRKAG2, RYR2, SCN5A, CACNA1C, KCNH2, KCNE1/2, ANK2, LMNA, NKX2-5, and accessory-pathway syndromes linked to familial WPW, with inheritance often autosomal dominant and variable penetrance in syndromic or familial cases, although most SVT is sporadic. Relevant pathways include cardiac action-potential regulation through sodium, L-type calcium, and potassium currents, cAMP/Ca2+-dependent signaling, ryanodine-receptor-mediated sarcoplasmic reticulum calcium handling, AV nodal conduction, and fibrotic or structural remodeling that stabilizes re-entry circuits. Typical manifestations are abrupt episodic palpitations, rapid regular heartbeat, chest discomfort, dyspnea, lightheadedness, anxiety, neck pounding, presyncope or syncope, and occasionally hypotension or heart failure in sustained episodes. Comorbidities and complications include congenital heart disease, cardiomyopathy, thyroid disease, electrolyte disturbance, anxiety, tachycardia-induced cardiomyopathy, thromboembolism particularly with atrial flutter, and rare sudden cardiac death in pre-excited atrial fibrillation. Diagnosis relies on ECG documentation of a narrow-complex tachycardia or pre-excitation, vagal response patterns, ambulatory monitoring, echocardiography to assess structural disease, laboratory testing for reversible triggers, and electrophysiology study for mechanism definition and ablation planning. Treatment commonly uses adenosine, which transiently blocks AV nodal conduction via A1-receptor-mediated suppression of cAMP; beta-blockers such as metoprolol, which reduce sympathetic drive and AV nodal conduction; nondihydropyridine calcium-channel blockers such as verapamil or diltiazem, which inhibit L-type calcium current in the"
504,C0039483,Giant Cell Arteritis,D013700,"Giant cell arteritis (MeSH D013700) is a granulomatous large- and medium-vessel vasculitis of older adults, classically affecting the extracranial branches of the carotid artery, especially the temporal artery, and often overlapping with polymyalgia rheumatica; major subtypes include cranial GCA and large-vessel/aortic GCA. Its pathobiology reflects dendritic-cell activation in the arterial adventitia, Th1/Th17 polarization, macrophage infiltration, multinucleated giant cells, intimal hyperplasia, and ischemia, with key mediators including HLA-DRB1*04 alleles as the strongest genetic risk factors, plus associations near IL6, IL17A, PTPN22, and FCGR2A/FCGR3A; proteins and pathways implicated include IL-6/JAK-STAT, IL-12/IFN-gamma, IL-17, TNF, VEGF, PDGF, matrix metalloproteinases, and endothelial and smooth-muscle remodeling pathways. The disease is not Mendelian, shows complex polygenic susceptibility, and lacks a single causative mutation. Typical manifestations are new-onset temporal or occipital headache, scalp tenderness, jaw claudication, constitutional symptoms, polymyalgic shoulder/hip pain, visual blurring or amaurosis fugax, diplopia, and reduced temporal artery pulse, while complications include irreversible anterior ischemic optic neuropathy and blindness, stroke, aortic aneurysm, dissection, and large-vessel stenosis; comorbidities include polymyalgia rheumatica, cardiovascular disease, osteoporosis, and glucocorticoid toxicity. Diagnosis relies on compatible age older than 50 years, elevated ESR and/or CRP, and the 1990 ACR classification features, supported by temporal artery biopsy showing transmural granulomatous inflammation with giant cells and elastic lamina fragmentation, or by color Doppler ultrasound halo sign, MRI, CT angiography, or FDG-PET for large-vessel involvement. Treatment centers on glucocorticoids such as prednisone or intravenous methylprednisolone, which broadly suppress NF-kappaB-driven cytokine transcription; tocilizumab, an IL-6 receptor antagonist, is an effective steroid-sparing agent; methotrexate inhibits dihydrofolate-dependent proliferation and dampens immune activation; and aspirin is often used to reduce thrombotic"
505,C0039503,Tendinitis,D052256,"Tendinitis (UMLS C0039503) is a common painful disorder of tendon inflammation and, more often in chronic cases, failed tendon healing with degenerative tendinopathy caused by repetitive mechanical overload, acute strain, aging, or systemic disease. It typically presents with localized pain, tenderness, swelling, crepitus, and activity-related functional limitation at sites such as the rotator cuff, lateral epicondyle, patellar, Achilles, or wrist tendons; subtypes are generally classified by anatomic site and by acute inflammatory versus chronic degenerative forms. Its biology involves extracellular matrix disruption and tenocyte dysregulation, with altered collagen turnover and neovascularity driven by pathways centered on COL1A1/COL5A1, matrix metalloproteinases such as MMP3, cytokines including IL1B, IL6, and TNF, prostaglandin/COX-2 signaling, TGF-β, VEGF-mediated angiogenesis, and mechanotransduction pathways including NF-κB and MAPK. Genetic susceptibility is usually multifactorial rather than Mendelian, but variants in COL5A1, TNC, MMP3, and GDF5 have been associated with Achilles or other tendinopathies in some populations. Comorbidities and risk factors include diabetes mellitus, obesity, hypercholesterolemia, rheumatoid arthritis, gout, chronic kidney disease, fluoroquinolone exposure, and corticosteroid use, while complications include tendon rupture, calcific change, and chronic pain-related disability. Diagnosis is primarily clinical, based on focal tendon pain reproducible with resisted movement or stretch and exclusion of tear or alternative causes; ultrasonography and MRI help identify tendon thickening, hypoechogenicity, partial tearing, or peritendinous fluid, and laboratory tests are reserved when infection, crystal disease, or inflammatory arthropathy is suspected. Common treatments include ibuprofen or naproxen, nonsteroidal anti-inflammatory drugs that inhibit COX enzymes and reduce prostaglandin synthesis; diclofenac, another NSAID often used topically or orally; and corticosteroid injections such as triamcinolone, which suppress phospholipase A2-dependent inflammatory gene transcription, although repeated steroid exposure may weaken tendon tissue."
506,C0039520,Tenosynovitis,D013717,"Tenosynovitis (UMLS C0039520) is an inflammatory or fibroproliferative disorder of the synovial sheath surrounding a tendon, arising from repetitive mechanical overuse, autoimmune synovitis, crystalline or infectious causes, or stenosing entrapment such as trigger finger and de Quervain tenosynovitis. Molecularly, inflammatory forms are linked to cytokine- and matrix-remodeling networks rather than a single causative gene, with increased TNF, IL1B, IL6, COX-2/PTGS2, VEGFA, MMP1, MMP3, and MMP9, activation of NF-kB, JAK/STAT, MAPK, prostaglandin, and RANKL-mediated osteoclast pathways, and in rheumatoid disease associations with HLA-DRB1 shared-epitope alleles, PTPN22, and STAT4; tenosynovial giant cell tumor, a distinct proliferative subtype, is often driven by CSF1 overexpression from CSF1 rearrangements, recruiting CSF1R-positive macrophages. Clinical manifestations typically include localized pain, swelling, warmth, tenderness, crepitus, painful motion, triggering or locking, and impaired grip or function; infectious cases may show erythema, fusiform swelling, severe pain with passive stretch, and systemic features. Important comorbidities include rheumatoid arthritis, psoriatic arthritis, gout, diabetes mellitus, carpal tunnel syndrome, Dupuytren disease, and occupational overuse, while complications include tendon rupture, adhesions, chronic stiffness, nerve compression, and spread of infection. Diagnosis is primarily clinical, supported by examination maneuvers such as Finkelstein testing for de Quervain disease, laboratory markers of inflammation or autoimmunity, urate analysis when indicated, microbiologic culture for suspected infection, and imaging with ultrasound showing sheath fluid or Doppler hyperemia, MRI for deep or proliferative disease, and radiographs to assess alternative pathology. Treatment commonly includes NSAIDs such as ibuprofen or naproxen, which inhibit COX-mediated prostaglandin synthesis; corticosteroid injection or oral prednisone, which suppress NF-kB-driven inflammatory gene expression; and antibiotics for pyogenic disease, for example cefazolin or vancomycin targeting bacterial cell-wall synthesis, with surgery reserved for drainage or refractory stenosing disease."
507,C0039614,Tetanus,D013742,"Tetanus (MeSH D013742) is an acute, noncommunicable neurotoxic syndrome caused by infection of contaminated wounds, the umbilical stump, or devitalized tissue with Clostridium tetani, whose tetanospasmin protein (encoded by the plasmid-borne tetX gene in older nomenclature, more commonly TeNT) is the central virulence factor; unlike Mendelian disorders, tetanus has no established inheritance pattern, although host variation in immune-response genes such as HLA loci and immunoglobulin responsiveness may influence vaccine response rather than disease causation. The toxin binds peripheral nerve terminals via gangliosides and nidogen, undergoes retrograde axonal transport, and its zinc-dependent light-chain endopeptidase cleaves the synaptic vesicle SNARE protein VAMP/synaptobrevin, blocking release of inhibitory neurotransmitters GABA and glycine from spinal interneurons, thereby disinhibiting motor and autonomic pathways. Clinically, generalized tetanus is most common and presents with trismus, risus sardonicus, neck and abdominal rigidity, painful stimulus-induced spasms, opisthotonus, dysphagia, and autonomic instability; localized, cephalic, and neonatal forms are recognized subtypes. Diagnosis is primarily clinical, based on compatible symptoms with incomplete immunization or a contaminated wound, because wound culture is insensitive and no routine laboratory test confirms disease; toxin detection, PCR for C. tetani genes, and electromyography may support atypical cases, while differential diagnosis includes strychnine poisoning, dystonic reactions, hypocalcemic tetany, meningitis, and seizures. Treatment combines human tetanus immune globulin, which neutralizes unbound toxin, metronidazole, which inhibits anaerobic bacterial DNA synthesis, and benzodiazepines such as diazepam or midazolam, which potentiate GABAA signaling to reduce spasm; penicillin, baclofen, magnesium sulfate, and neuromuscular blockers are also used when indicated. Major complications include laryngospasm, aspiration pneumonia, fractures, rhabdomyolysis, respiratory failure, pulmonary embolism, and dysautonomia, with important comorbid contexts including substance use, diabetes, chronic wounds, and inadequate vaccination."
508,C0039621,Tetany,D013746,"Tetany is a clinical syndrome of increased neuromuscular excitability rather than a single disease, most often caused by hypocalcemia, alkalosis, or hypomagnesemia, and characterized by perioral numbness, paresthesias, carpopedal spasm, muscle cramps, laryngospasm, bronchospasm, seizures, hyperreflexia, and positive Chvostek and Trousseau signs; severe cases may produce arrhythmias and respiratory compromise. Major subtypes include hypocalcemic tetany, normocalcemic respiratory alkalosis–related tetany, hypomagnesemic tetany, and rare hereditary forms. Genetic contributors are best defined in disorders predisposing to electrolyte imbalance, including CASR gain-of-function variants causing autosomal dominant hypocalcemia, GNA11 and AP2S1 abnormalities affecting calcium-sensing receptor signaling, PTH mutations and GCM2 defects in familial hypoparathyroidism, and renal magnesium-handling genes such as TRPM6, CLDN16, and SLC12A3; these implicate the calcium-sensing receptor–parathyroid hormone–vitamin D axis, renal tubular calcium/magnesium transport, and membrane excitability pathways involving voltage-gated sodium channels. Common comorbidities and complications include hypoparathyroidism, vitamin D deficiency, chronic kidney disease, pancreatitis, malabsorption, diarrhea, alcoholism, postoperative thyroid/parathyroid injury, nephrocalcinosis, cataracts, basal ganglia calcifications, fractures, and prolonged QT. Treatment targets the underlying disturbance: intravenous calcium gluconate rapidly restores extracellular calcium to stabilize excitable membranes in acute tetany; oral calcium carbonate is used for maintenance replacement; calcitriol increases intestinal calcium absorption in hypoparathyroid states; magnesium sulfate corrects hypomagnesemia and reverses impaired PTH secretion/action; and ergocalciferol or cholecalciferol treat vitamin D deficiency. Diagnosis rests on compatible symptoms plus biochemical confirmation with ionized or total calcium corrected for albumin, magnesium, phosphate, PTH, 25-hydroxyvitamin D, renal function, and blood gas assessment for alkalosis, with ECG for QT prolongation, urinary calcium/magnesium studies, and targeted genetic testing when familial hypocalcemia, hypoparathyroidism, or inherited tubulopathies are suspected."
509,C0039685,Tetralogy of Fallot,D013771,"Tetralogy of Fallot is a conotruncal congenital cyanotic heart disease defined by the tetrad of ventricular septal defect, overriding aorta, right ventricular outflow tract obstruction or pulmonary stenosis, and secondary right ventricular hypertrophy, with clinical expression ranging from classic cyanosis and hypoxic tet spells to murmur, clubbing, poor feeding, failure to thrive, dyspnea, squatting, and exercise intolerance. It arises from abnormal cardiac neural crest migration and outflow tract septation, and may occur as pulmonary atresia, absent pulmonary valve syndrome, or TOF with major aortopulmonary collateral arteries. Genetic contributors include 22q11.2 deletion involving TBX1, and variants in JAG1, NKX2-5, GATA4, TBX5, NOTCH1, FLT4, ZFPM2, and occasionally VEGF-related genes; inheritance is often sporadic but may be autosomal dominant with variable penetrance in syndromic or familial cases, including DiGeorge/velocardiofacial, Alagille, trisomy 21, and CHARGE associations. Relevant pathways include Notch-JAG1, TBX1/FGF8, NKX2-5/GATA transcriptional networks, VEGF-mediated vasculogenesis, and retinoic acid and cardiac neural crest developmental signaling. Common complications and comorbidities include arrhythmias, aortic root dilation, pulmonary regurgitation after repair, right heart failure, infective endocarditis, stroke or brain abscess from right-to-left shunting, and extracardiac anomalies such as thymic or parathyroid defects in 22q11.2 deletion. Diagnosis is based on echocardiographic demonstration of the four defining lesions, supported by pulse oximetry, ECG, chest radiography, fetal ultrasound, cardiac MRI/CT, and catheterization when anatomy or hemodynamics require clarification; genetic testing such as chromosomal microarray or targeted panels is recommended when syndromic features are present. Drug therapy is mainly supportive or perioperative, including propranolol to blunt infundibular spasm during tet spells via beta-adrenergic blockade, prostaglandin E1 to maintain ductal patency in duct-dependent neonates, phenylephrine to raise systemic vascular resistance and reduce right-to-left shunting, and diuretics such as furosemide for heart failure"
510,C0039841,Thiamine Deficiency,D013832,"Thiamine deficiency (vitamin B1 deficiency; UMLS C0039841) is a nutritional and sometimes genetically influenced disorder that impairs carbohydrate metabolism and cellular energy production because thiamine pyrophosphate is an essential cofactor for pyruvate dehydrogenase, alpha-ketoglutarate dehydrogenase, branched-chain alpha-ketoacid dehydrogenase, and transketolase; consequently, oxidative phosphorylation, the tricarboxylic acid cycle, pentose phosphate pathway, mitochondrial ATP generation, and neural ion homeostasis are disrupted, with lactate accumulation and oxidative stress. Although most cases are acquired from alcoholism, malnutrition, hyperemesis, bariatric surgery, dialysis, or prolonged diuretic use, genetic contributors include SLC19A2 and SLC19A3 mutations encoding thiamine transporters, TPK1 variants affecting thiamine pyrophosphokinase, and mitochondrial enzyme defects such as PDHA1-related pyruvate dehydrogenase dysfunction that can phenocopy or exacerbate deficiency states; inheritance is typically not Mendelian in acquired disease, but these transporter and metabolic defects are usually autosomal recessive, except PDHA1, which is X-linked. Clinical forms include dry beriberi with symmetric peripheral neuropathy, paresthesias, areflexia, and muscle wasting; wet beriberi with high-output heart failure, edema, and tachycardia; infantile beriberi; and Wernicke-Korsakoff syndrome characterized by confusion, ophthalmoplegia or nystagmus, gait ataxia, and chronic amnesia. Common comorbidities and complications include alcohol use disorder, liver disease, malabsorption, heart failure, lactic acidosis, irreversible cognitive impairment, and death. Diagnosis is primarily clinical in at-risk patients, supported by low whole-blood thiamine diphosphate, reduced erythrocyte transketolase activity with stimulation by thiamine pyrophosphate, elevated lactate or pyruvate, and sometimes MRI showing typical Wernicke lesions; response to therapy is also diagnostically informative. Treatment centers on thiamine, usually parenteral initially, which replenishes intracellular thiamine pyrophosphate; benfotiamine, a lipid-soluble thiamine derivative, increases tissue delivery; and multivitamin or B-complex replacement, often with magnesium repletion because magnesium is required"
511,C0040021,Thromboangiitis Obliterans,D013919,"Thromboangiitis obliterans (Buerger disease; MeSH D013919) is a nonatherosclerotic, segmental inflammatory and thrombotic vasculopathy of small- and medium-sized arteries and veins of the extremities, seen predominantly in young to middle-aged tobacco users, in which highly tobacco-dependent immune-mediated endothelial injury leads to occlusive thrombosis with relative preservation of the internal elastic lamina. Its genetic contribution is complex and non-Mendelian, with susceptibility associations reported for HLA haplotypes such as HLA-B5, HLA-A9, HLA-B54, and polymorphisms in immune, endothelial, and coagulation-related genes including NOS3/eNOS, ICAM1, MMPs, CD14, and prothrombotic variants such as factor V Leiden in some cohorts, but no single causative mutation is established. Pathobiology implicates tobacco antigen hypersensitivity, T-cell and macrophage activation, endothelial dysfunction, oxidative stress, platelet activation, cytokines such as TNF-alpha, IL-1, IL-6, adhesion molecules, thromboxane signaling, and impaired nitric oxide and prostacyclin pathways, with sympathetic vasoconstriction further worsening ischemia. Patients typically present with distal ischemic pain, claudication of the feet, legs, hands, or forearms, Raynaud phenomenon, cold sensitivity, migratory superficial thrombophlebitis, ischemic ulcers, and digital gangrene; major complications include recurrent infection, osteomyelitis, critical limb ischemia, and amputation, while comorbidities include heavy cigarette or smokeless tobacco use and periodontal disease. Recognized phenotypes include distal extremity-predominant arterial disease with or without venous involvement. Diagnosis is clinical and angiographic, commonly based on Shionoya or Olin criteria: age usually under 45 to 50 years, current or recent tobacco exposure, distal infrapopliteal/infrabrachial ischemia, exclusion of diabetes, autoimmune disease, hypercoagulable states, and proximal embolic sources, and characteristic angiography showing segmental occlusions and corkscrew collaterals; testing includes ankle-brachial and digit pressures, duplex ultrasonography, catheter or CT/MR angiography, inflammatory and thrombophilia panels, and occasionally biopsy. Treatment centers on absolute tobacco cessation; adjunctive drugs include iloprost, a prostacyclin analog"
512,C0040034,Thrombocytopenia,D013921,"Thrombocytopenia (MeSH D013921) is a heterogeneous disorder defined by a platelet count below 150 × 10^9/L due to decreased marrow production, increased peripheral destruction or consumption, splenic sequestration, or dilution, and it may be inherited or acquired. Clinically it presents with petechiae, purpura, epistaxis, gingival bleeding, menorrhagia, easy bruising, and, in severe cases, gastrointestinal or intracranial hemorrhage. Major subtypes include immune thrombocytopenia (ITP), thrombotic microangiopathies such as thrombotic thrombocytopenic purpura, heparin-induced thrombocytopenia, bone marrow failure or infiltrative thrombocytopenia, congenital thrombocytopenias, and consumptive states such as disseminated intravascular coagulation. Relevant genes and proteins include MPL, THPO, and JAK2 in thrombopoietin signaling; GP1BA, GP1BB, and GP9 in Bernard-Soulier syndrome; MYH9 in MYH9-related disease; WAS in Wiskott-Aldrich syndrome; ANKRD26, ETV6, and RUNX1 in inherited thrombocytopenia with hematologic malignancy predisposition; and ADAMTS13 deficiency or autoantibodies in TTP. Key pathways involve thrombopoietin-MPL-JAK2-STAT signaling controlling megakaryopoiesis, Fcγ receptor-mediated splenic macrophage clearance and B-cell/T-cell immune dysregulation in ITP, platelet activation and von Willebrand factor-rich microthrombi in TTP, and thrombin-driven coagulation cascade activation in DIC. Treatments depend on cause and include corticosteroids, which suppress autoantibody production and reticuloendothelial platelet destruction; intravenous immunoglobulin, which blocks Fc receptor-mediated clearance; thrombopoietin receptor agonists such as romiplostim or eltrombopag, which stimulate megakaryocyte proliferation; rituximab, which depletes CD20-positive B cells; and caplacizumab in acquired TTP, which inhibits von Willebrand factor–platelet interaction. Important comorbidities and complications include autoimmune disease, viral infections, liver disease, pregnancy, malignancy, anemia, thrombosis paradoxically in HIT or TTP, and life-threatening bleeding. Diagnosis relies on CBC with smear, medication and infection"
513,C0040038,Thromboembolism,D013923,"Thromboembolism is a vascular disorder in which a thrombus forms in the venous or arterial circulation and embolizes to obstruct downstream vessels, classically presenting as venous thromboembolism with deep-vein thrombosis and pulmonary embolism, but also including arterial thromboembolism causing stroke, limb ischemia, or mesenteric ischemia. Its biology reflects Virchow triad and dysregulated coagulation, platelet activation, and fibrinolysis, with key pathways involving tissue factor–factor VIIa initiation, thrombin generation through factors II, V, VIII, IX, X, and XI, fibrin formation from fibrinogen, platelet P2Y12 and glycoprotein IIb/IIIa signaling, and impaired protein C/protein S/antithrombin anticoagulant and plasmin-mediated fibrinolytic systems. Genetic susceptibility is well established, especially for venous disease, with representative inherited thrombophilias including F5 Factor V Leiden, F2 prothrombin G20210A, SERPINC1 antithrombin deficiency, PROC protein C deficiency, PROS1 protein S deficiency, and less commonly elevated factor VIII, dysfibrinogenemia, or variants affecting ABO and fibrinolytic genes; these are usually inherited in an autosomal dominant pattern with incomplete penetrance. Common symptoms include unilateral leg swelling, pain, warmth, and erythema in DVT, and dyspnea, pleuritic chest pain, tachycardia, cough, hemoptysis, syncope, or hypoxemia in pulmonary embolism. Major comorbidities and risk states include cancer, surgery, trauma, immobility, pregnancy, estrogen exposure, obesity, antiphospholipid syndrome, heart failure, and myeloproliferative neoplasms, while complications include recurrent embolism, post-thrombotic syndrome, chronic thromboembolic pulmonary hypertension, right-heart strain, and sudden death. Diagnosis integrates clinical probability scores such as Wells, D-dimer testing, compression ultrasonography for DVT, CT pulmonary angiography or ventilation-perfusion scanning for PE, and selected thrombophilia testing. Standard treatment includes heparins that potentiate antithrombin, warfarin that inhibits vitamin K–dependent factors II, VII, IX, and X, and direct oral anticoagulants such as apixaban or rivaroxaban that inhibit factor Xa"
514,C0040053,Thrombosis,D013927,"Thrombosis (MeSH D013927) is the pathologic formation of an intravascular blood clot within arteries, veins, or the microcirculation, driven by Virchow’s triad of endothelial injury, abnormal blood flow, and hypercoagulability. Major molecular determinants include platelet adhesion/activation pathways involving von Willebrand factor, glycoprotein Ib/IIbIIIa, thromboxane A2, ADP-P2Y12, and thrombin-PAR signaling, together with the coagulation cascade centered on tissue factor, factors II, V, VIII, IX, X, XI, fibrinogen, and natural anticoagulants protein C, protein S, and antithrombin. Well-established genetic contributors include Factor V Leiden (F5 p.Arg506Gln) causing activated protein C resistance, the prothrombin F2 G20210A variant, SERPINC1, PROC, and PROS1 deficiencies, and less commonly elevated homocysteine linked to MTHFR variants; thrombosis is usually multifactorial, although inherited thrombophilia often follows autosomal dominant transmission with variable penetrance. Clinical forms include venous thromboembolism such as deep-vein thrombosis and pulmonary embolism, arterial thrombosis causing myocardial infarction or ischemic stroke, and microvascular thrombosis as seen in disseminated intravascular coagulation or antiphospholipid syndrome. Typical manifestations include limb swelling, pain, erythema, warmth, venous cord, dyspnea, pleuritic chest pain, hemoptysis, hypoxemia, or acute ischemic neurologic/cardiac deficits, while complications include post-thrombotic syndrome, chronic thromboembolic pulmonary hypertension, embolization, recurrent thrombosis, organ infarction, and death. Common comorbid associations include cancer, surgery, trauma, immobility, pregnancy, estrogen exposure, obesity, smoking, myeloproliferative neoplasms including JAK2-mutant disease, nephrotic syndrome, heart failure, and autoimmune disorders. Diagnosis relies on clinical probability assessment, D-dimer testing, duplex ultrasonography, CT pulmonary angiography, MR or conventional angiography when indicated, and selected thrombophilia testing. Treatment commonly includes unfractionated or low-molecular-weight heparin via antithrombin-mediated inhibition of factor Xa and thrombin, warfarin through vitamin K antagonism"
515,C0040127,Thyroid Crisis,D013958,"Thyroid crisis, or thyroid storm, is a rare, life-threatening endocrine emergency representing the extreme decompensated form of thyrotoxicosis, most often arising in Graves disease but also toxic multinodular goiter, toxic adenoma, thyroiditis, or iodine- or amiodarone-related hyperthyroidism; it is not itself a Mendelian disorder, yet genetic susceptibility reflects the underlying hyperthyroid state, with Graves disease linked to HLA-DR3, CTLA4, PTPN22, TSHR, and thyroglobulin loci, and activating TSHR or GNAS mutations occurring in autonomous nodules. Its pathobiology centers on excess T3 and T4 signaling through thyroid hormone receptors TRalpha and TRbeta, amplified beta-adrenergic activity, increased cAMP signaling, mitochondrial oxygen consumption, thermogenesis, and systemic cytokine stress responses, often precipitated by infection, surgery, trauma, myocardial infarction, diabetic ketoacidosis, or parturition. Patients typically present with high fever, marked tachycardia or atrial fibrillation, heart failure, agitation, delirium, tremor, diaphoresis, nausea, vomiting, diarrhea, dehydration, and may progress to jaundice, shock, seizures, or coma. Major complications include arrhythmia, cardiomyopathy, hepatic injury, respiratory failure, thromboembolism, and death, with frequent comorbid autoimmune disease and cardiovascular disease. Diagnosis is clinical, commonly supported by severe biochemical thyrotoxicosis with suppressed TSH and elevated free T4 and/or T3, plus precipitation assessment and scoring systems such as Burch-Wartofsky or Japanese Thyroid Association criteria; testing also includes ECG, electrolytes, liver function, CBC, cultures, and imaging as indicated to identify triggers. Treatment combines propylthiouracil, which inhibits thyroid peroxidase and peripheral T4-to-T3 conversion, or methimazole, which inhibits thyroid hormone synthesis, followed by iodine solutions that acutely block hormone release, beta-blockers such as propranolol or esmolol to blunt adrenergic effects and reduce T4-to-T3 conversion, and glucocorticoids such as hydrocortisone or dexamethasone to treat relative adrenal insufficiency and decrease peripheral conversion."
516,C0040147,Thyroiditis,D013966,"Thyroiditis (UMLS C0040147) comprises a heterogeneous group of inflammatory thyroid disorders, most commonly chronic autoimmune Hashimoto thyroiditis, subacute granulomatous (de Quervain) thyroiditis, painless/silent and postpartum thyroiditis, acute suppurative thyroiditis, and drug- or radiation-induced forms, characterized clinically by transient or permanent thyrotoxicosis, euthyroidism, or hypothyroidism depending on stage and subtype. Autoimmune thyroiditis has the clearest genetic basis, with susceptibility linked to HLA-DR3, HLA-DR4, HLA-DR5, CTLA4, PTPN22, TG, TSHR, FOXP3, IL2RA, and immune-regulatory variants; proteins central to pathogenesis include thyroid peroxidase, thyroglobulin, and the TSH receptor, with anti-TPO and anti-thyroglobulin antibodies as representative biomarkers, while postpartum thyroiditis shares autoimmune predisposition. Key pathways involve loss of self-tolerance, antigen presentation through HLA class II, T-cell and B-cell activation, cytokine signaling including IFN-gamma, TNF-alpha, IL-6, and apoptosis of thyrocytes via Fas/FasL and related inflammatory cascades; subacute thyroiditis is often post-viral, with macrophage and giant-cell–mediated injury. Typical features include painless or tender goiter, anterior neck pain radiating to the jaw in subacute disease, fatigue, weight change, palpitations, tremor, heat or cold intolerance, constipation, menstrual irregularity, and later hypothyroid symptoms. Important comorbidities include type 1 diabetes, celiac disease, pernicious anemia, Addison disease, rheumatoid arthritis, and systemic lupus, with complications such as permanent hypothyroidism, transient atrial arrhythmias, and rarely thyroid abscess in suppurative disease. Diagnosis relies on TSH and free T4/free T3 patterns, anti-TPO/anti-Tg antibodies, ESR/CRP elevation in subacute disease, thyroid ultrasonography showing heterogeneous hypoechogenicity, low radioactive iodine uptake in destructive thyroiditis, and fine-needle aspiration or culture when abscess or malignancy is suspected. Treatment is etiology-specific: levothyroxine replaces deficient hormone via thyroid hormone receptor activation, propranolol ameliorates adrenergic symptoms through beta-adrenergic blockade,"
517,C0040250,Tinea Capitis,D014006,"Tinea capitis is a contagious dermatophyte infection of the scalp hair shafts and follicles, seen predominantly in prepubertal children, most often caused by Trichophyton tonsurans, Microsporum canis, and related species, and classically divided into noninflammatory gray-patch and black-dot forms, inflammatory kerion, and favus. The disease is not a Mendelian disorder, but host susceptibility is influenced by immune genes and proteins involved in cutaneous antifungal defense, including pattern-recognition and cytokine pathways such as Dectin-1/CLEC7A, CARD9, toll-like receptors, IL-17/IL-22, TNF-α, and antimicrobial peptides; rare CARD9 deficiency and other primary immunodeficiencies can predispose to severe, recurrent, or invasive dermatophytosis. Pathobiologically, fungal adherence to keratinized tissue, secretion of keratinases and other proteases, and host innate and Th17-mediated inflammatory signaling are central. Typical findings are patchy alopecia with scale, broken hairs, black dots, pruritus, erythema, posterior cervical or occipital lymphadenopathy, and in kerion, painful boggy plaques with pustules; complications include scarring alopecia, bacterial superinfection, abscess formation, id reactions, and psychosocial distress, while comorbid associations include atopic dermatitis, household dermatophytosis, and immunosuppression. Diagnosis is based on characteristic examination plus confirmation by potassium hydroxide microscopy, fungal culture, trichoscopy showing comma or corkscrew hairs, Wood lamp fluorescence in some Microsporum infections, and occasionally PCR or histopathology. Treatment requires systemic antifungals: griseofulvin, which disrupts fungal mitotic microtubules and concentrates in keratin; terbinafine, a squalene epoxidase inhibitor that blocks ergosterol synthesis; itraconazole and fluconazole, azoles that inhibit fungal CYP51/14-α-demethylase; adjunctive selenium sulfide or ketoconazole shampoo reduces spore shedding and transmission."
