ID,Drug,Name,Smile,Description
957,DB04465,Lactose,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,"Lactose (DrugBank DB04465) is a naturally occurring reducing disaccharide composed of one D-galactose and one D-glucose unit linked by a β-(1→4) glycosidic bond, giving a highly polar, polyhydroxylated carbohydrate structure that exists in α- and β-anomeric forms at the glucose residue; chemically it belongs to the carbohydrate class, specifically disaccharides, and its core scaffold is a galactopyranosyl-glucopyranose sugar framework. Closely related or similar agents include other saccharides and excipient sugars such as lactulose, sucrose, glucose, galactose, and maltose, with lactulose being a notable semisynthetic analog used therapeutically. Pharmacokinetically, orally administered lactose is ordinarily hydrolyzed at the intestinal brush border by lactase-phlorizin hydrolase (LCT) into glucose and galactose, which are then absorbed via intestinal monosaccharide transport pathways; intact systemic distribution of lactose is negligible, metabolism is effectively presystemic, and excretion of unhydrolyzed lactose occurs mainly in feces, with possible colonic bacterial fermentation to short-chain fatty acids and gas in lactase deficiency. Toxicity is low and largely gastrointestinal rather than systemic, but excessive exposure in lactose-intolerant individuals can cause osmotic diarrhea, abdominal cramping, bloating, borborygmi, and flatulence; rare risks include worsening symptoms in congenital lactase deficiency or galactose-related metabolic disorders when lactose contributes to galactose burden. The principal known biological target relevant to disposition is LCT rather than a classical pharmacologic receptor. Lactose is used mainly as a pharmaceutical excipient and nutrient sugar, including as a tablet and capsule filler, powder diluent, carrier in dry-powder inhalers, and component of infant formulas or nutritional products, while adverse effects clinically are chiefly intolerance-associated gastrointestinal symptoms rather than direct drug-like toxicities."
958,DB04564,Gluconolactone,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,"Gluconolactone (DrugBank DB04564) is a small, highly polar carbohydrate-derived polyhydroxy acid lactone, specifically the cyclic ester of D-gluconic acid, with a six-membered 1,5-lactone ring bearing multiple secondary alcohol groups that confer strong hydrogen-bonding capacity, high water solubility after ring opening, and ready interconversion with gluconate in aqueous media; chemically it belongs to the aldonic acid lactones and broader sugar-acid derivatives, and its core scaffold is a glucono-1,5-lactone carbohydrate lactone framework. Structurally and functionally similar agents include gluconic acid, calcium gluconate, sodium gluconate, glucuronolactone, and other polyhydroxy carboxylate/lactone compounds used as excipients, chelators, or metabolic intermediates. Pharmacokinetic data in humans are limited, but orally administered gluconolactone is expected to be readily dissolved, hydrolyzed nonenzymatically and enzymatically to gluconate in the gastrointestinal tract and plasma, distributed largely within extracellular water, incorporated into intermediary carbohydrate metabolism, and eliminated mainly in urine as gluconate or downstream metabolites; significant protein binding, bioaccumulation, or CYP-mediated biotransformation are not established. No specific high-affinity drug target proteins are well validated; its biological effects are better viewed as physicochemical and metabolic, although gluconate can participate in endogenous oxidative carbohydrate pathways. Toxicity is generally low at customary exposure levels, but excessive intake may cause gastrointestinal discomfort, osmotic diarrhea, bloating, or rare metabolic intolerance; serious organ toxicity is not well documented. Clinically, gluconolactone has mainly nontraditional drug use as a formulation ingredient, chelating/acidifying agent, and in dermatologic or cosmetic applications as a polyhydroxy acid for mild keratolysis, moisturization, and treatment of photoaging, acne-prone skin, or dyschromia, with adverse effects typically limited to transient irritation, stinging, erythema, or peeling."
959,DB04571,Trioxsalen,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1,"Trioxsalen (DrugBank DB04571), also known as trimethylpsoralen, is a tricyclic furocoumarin composed of a planar psoralen core in which a furan ring is fused to a coumarin (benzopyrone) system and substituted with methyl groups that increase lipophilicity and photoreactivity; chemically it belongs to the psoralen/linear furanocoumarin class and is built on the classic psoralen scaffold. Closely related drugs include methoxsalen (8-methoxypsoralen), bergapten (5-methoxypsoralen), and aminolevulinic acid-based photosensitizers used in different photomedical contexts. Its pharmacology is dominated by UVA-dependent intercalation into nucleic acids followed by covalent photoadduct formation, especially with pyrimidine bases in DNA, producing mono-adducts and interstrand crosslinks that suppress keratinocyte proliferation and alter local immune responses; therefore its main functional target is DNA rather than a conventional protein receptor, although downstream effects involve cell-cycle and inflammatory signaling pathways. After oral or topical administration it is absorbed variably, distributes preferentially to skin and other tissues exposed to light, undergoes hepatic oxidative metabolism, and is eliminated mainly as urinary metabolites with some biliary/fecal excretion; like other psoralens, exposure is influenced by formulation and light timing. Clinically, trioxsalen has been used as a photosensitizer in PUVA-type therapy for vitiligo, psoriasis, and selected eczematous or pigmentary disorders. Adverse effects include nausea, pruritus, erythema, blistering, hyperpigmentation, phototoxic burns, headache, and ocular photosensitivity, while toxicity concerns include dose-related phototoxic injury, mutagenicity/genotoxicity from DNA crosslinking, cataract risk without eye protection, and a long-term increased risk of photoaging and nonmelanoma skin cancer with repeated UVA exposure."
960,DB04572,Thiotepa,S=P(N1CC1)(N1CC1)N1CC1,"Thiotepa (DB04572) is a small, highly strained trifunctional alkylating agent built on a thiophosphoramide core in which a phosphoryl sulfur center is bound to three aziridine rings, giving a compact polyaziridinyl scaffold that serves as the defining chemical motif for this ethyleneimine antineoplastic class. It is closely related to other aziridine or alkylating drugs such as triethylenemelamine, altretamine, and mechanistically to nitrogen mustards including cyclophosphamide and melphalan, all of which generate electrophiles that damage DNA. Thiotepa is used primarily in ovarian and breast cancer, superficial bladder cancer by intravesical administration, and as part of high-dose conditioning regimens before hematopoietic stem cell transplantation; it has also been used in leptomeningeal malignancy and regional cavity therapy. Its pharmacologic action is largely nonselective DNA alkylation with interstrand cross-linking after aziridine ring opening, so there is no single dominant protein target, although genomic DNA is the functional target and metabolism depends mainly on hepatic CYP3A4 and CYP2B6, which convert it to the active metabolite tepa. It is usually given parenterally, distributes widely with penetration into cerebrospinal fluid, is moderately protein bound, undergoes extensive hepatic biotransformation, and is excreted mainly in urine as metabolites with a relatively short parent half-life. Dose-limiting toxicity is profound myelosuppression, with leukopenia, thrombocytopenia, anemia, infection, and bleeding; additional toxicities include mucositis, nausea, vomiting, neurotoxicity, hepatotoxicity, infertility, and secondary malignancy risk, while common adverse effects include fatigue, alopecia, and local irritative effects such as chemical cystitis in bladder use."
961,DB04574,Estrone sulfate,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OS(O)(=O)=O)C=C3,"Estrone sulfate (DrugBank DB04574) is the sulfate ester conjugate of estrone, characterized by the classical steroidal cyclopentanoperhydrophenanthrene nucleus with an aromatic A ring, a 17-ketone, and a polar sulfate group esterified at the 3-hydroxyl position, making it a water-soluble endogenous estrogen metabolite and reservoir form. Chemically, it belongs to the estrogen steroids, specifically conjugated steroid sulfates, and its core scaffold is the estrane steroid framework. Closely related compounds include estrone, estradiol, estriol, and the clinically used esterified or conjugated estrogen mixtures such as conjugated estrogens and estradiol sulfate analogs. Pharmacokinetically, estrone sulfate is relatively hydrophilic compared with unconjugated estrogens, circulates extensively bound to albumin, serves as a large peripheral pool convertible to estrone by steroid sulfatase, and can then be reduced to estradiol by 17β-hydroxysteroid dehydrogenases; it is formed largely in liver and peripheral tissues, undergoes enterohepatic recirculation, and is eliminated mainly in urine as sulfate and glucuronide conjugates. Its pharmacology is mediated indirectly and directly through estrogen receptor targets ESR1 and ESR2 after desulfation and interconversion, with transport involving organic anion transporters such as SLCO family members. Toxicity resembles estrogen excess, including endometrial hyperplasia, thromboembolic risk, cholestatic effects, and potential stimulation of estrogen-sensitive malignancies such as breast or endometrial cancer. Adverse effects include breast tenderness, nausea, fluid retention, headache, and uterine bleeding. Clinically, estrone sulfate is primarily a biomarker and endogenous metabolite rather than a common standalone drug, but it is relevant to menopausal hormone therapy, hypoestrogenic states, and estrogen-responsive conditions through its role in conjugated estrogen preparations and steroid sulfatase-dependent estrogen replacement physiology."
962,DB04575,Quinestrol,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC1CCCC1)C=C3,"Quinestrol (DB04575) is a synthetic, long-acting steroidal estrogen structurally derived from estradiol, characterized by the classic estrane tetracyclic nucleus with an aromatic A-ring and a 3-cyclopentyl ether substitution that markedly increases lipophilicity and duration of action; chemically, it belongs to the semisynthetic estrogen and estradiol ether class, with an estrane/phenanthrene steroid scaffold closely related to ethinyl estradiol, mestranol, and especially estradiol valerate and other estrogenic prodrugs, although its closest analogs are quinestrol-containing estrogen formulations and natural estradiol itself. Its principal pharmacologic targets are estrogen receptors ESR1 and ESR2, through which it exerts genomic estrogenic effects on reproductive tissues, bone, pituitary feedback pathways, and vaginal epithelium. After oral administration, quinestrol is well absorbed, extensively distributed into adipose and other tissues because of high lipophilicity, slowly hydrolyzed and metabolized in the liver to active estrogenic metabolites including ethinyl estradiol-like species, and eliminated gradually via hepatic biotransformation with biliary and urinary excretion, accounting for its prolonged action. It has been used as an estrogen replacement agent and in gynecologic practice for menopausal symptoms, hypoestrogenic states, menstrual disorders, atrophic vaginitis, and occasionally suppression-related reproductive indications. Adverse effects resemble those of other estrogens and include nausea, breast tenderness, edema, headache, uterine bleeding, and fluid retention, while important toxicities include thromboembolic events, hypertension, cholestatic jaundice, endometrial hyperplasia or carcinoma with unopposed exposure, and potential worsening of estrogen-sensitive malignancies; overdose or chronic excess may produce marked feminizing and uterotrophic effects."
963,DB04812,Benoxaprofen,CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1,"Benoxaprofen (DB04812) is a lipophilic arylpropionic acid nonsteroidal anti-inflammatory drug characterized structurally by a 2-arylpropionic acid framework in which a propionic acid side chain is attached to a benzoxazole-containing aromatic system bearing a para-chlorophenyl substituent; thus, its chemical category is the profen subclass of NSAIDs and its core chemical scaffold is a benzoxazole-linked arylpropionic acid. It is chemically and pharmacologically related to other profens and anti-inflammatory arylacetic/arylpropionic agents such as ibuprofen, naproxen, ketoprofen, fenoprofen, and to some extent suprofen and diclofenac by shared cyclooxygenase-directed anti-inflammatory activity. Its principal known targets are cyclooxygenase enzymes, especially PTGS1 and PTGS2, with suppression of prostaglandin synthesis accounting for analgesic, anti-inflammatory, and antipyretic effects; additional photobiologic and hepatic liabilities likely reflect off-target oxidative and phototoxic processes rather than a unique therapeutic target. Benoxaprofen was used clinically for rheumatoid arthritis, osteoarthritis, and musculoskeletal pain and stiffness, particularly inflammatory arthropathies in older adults. After oral administration it is well absorbed, highly plasma-protein bound, distributes extensively into tissues, and has an unusually long elimination half-life for an NSAID, favoring accumulation; metabolism is limited relative to many comparators, with hepatic biotransformation and substantial biliary/fecal elimination alongside renal excretion of drug-related material. Its major toxicities include cholestatic or mixed hepatotoxicity, prolonged jaundice, severe photosensitivity and photo-onycholysis, and enhanced risk in the elderly due to accumulation; other adverse effects include dyspepsia, nausea, diarrhea, rash, pruritus, edema, headache, and typical NSAID gastrointestinal intolerance. Because of serious hepatic and cutaneous toxicity, including fatal liver injury in some patients, its clinical use was abandoned and it was withdrawn from the market."
964,DB04815,Clioquinol,OC1=C(I)C=C(Cl)C2=C1N=CC=C2,"Clioquinol (DrugBank DB04815) is a halogenated 8-hydroxyquinoline characterized by a bicyclic quinoline aromatic system bearing a phenolic hydroxyl at the 8-position and halogen substituents, classically iodine and chlorine, that confer marked lipophilicity and metal-chelating capacity; thus it belongs to the hydroxyquinoline antifungal/antiprotozoal class and is built on the 8-hydroxyquinoline scaffold. Structurally and pharmacologically related drugs include other hydroxyquinolines such as iodoquinol, chlorquinaldol, nitroxoline, and broader quinoline derivatives with antimicrobial activity. Its activity is attributed less to a single high-affinity receptor than to chelation of transition metals such as copper and zinc, disruption of metal-dependent microbial processes, and effects on amyloid handling; reported protein-level associations include amyloid precursor protein, matrix metalloproteinases, and metal-dependent enzymes, although no uniquely validated canonical target fully explains all actions. After oral or topical administration, absorption is variable but can be substantial, distribution is favored into lipid-rich tissues with some CNS penetration, metabolism occurs mainly by hepatic glucuronidation and sulfation, and excretion is primarily urinary as conjugates with limited unchanged drug. Indications have historically included topical treatment of fungal and eczematous dermatoses and oral treatment of intestinal amoebiasis or nonspecific infectious diarrhea; it has also been studied experimentally in Alzheimer disease and cancer. Adverse effects include gastrointestinal upset, rash, pruritus, and iodism-like reactions, while major toxicity includes dose- and duration-related neurotoxicity, especially subacute myelo-optic neuropathy, peripheral neuropathy, visual impairment, and rare myelopathy, which severely curtailed systemic clinical use in many countries."
965,DB04816,Dantron,OC1=CC=CC2=C1C(=O)C1=C(C=CC=C1O)C2=O,"Dantron (DrugBank DB04816), also known as chrysazin or 1,8-dihydroxyanthraquinone, is a small planar aromatic molecule built on an anthracene-9,10-dione core bearing two phenolic hydroxyl groups at the 1 and 8 positions, giving it a rigid, highly conjugated, weakly acidic polycyclic quinone structure; chemically it belongs to the hydroxyanthraquinone/anthracenedione class, and its defining scaffold is the anthraquinone nucleus shared with stimulant laxatives and related quinonoid compounds. Similar drugs include anthraquinone laxatives such as senna derivatives (sennosides, which yield active anthrones), cascara constituents, aloe-emodin derivatives, and the diphenylmethane laxative bisacodyl as a mechanistically related stimulant cathartic comparator. Dantron is poorly absorbed from the gastrointestinal tract, acts mainly locally in the colon, undergoes limited systemic distribution, may be reduced by intestinal flora to active anthrone-like metabolites, and is eliminated primarily in feces with some urinary excretion of metabolites. Its pharmacologic effect is thought to reflect direct stimulation of colonic motility and secretion rather than a well-defined single protein target, and no highly validated specific target protein is generally established. It has been used for constipation, especially opioid-associated constipation and severe chronic constipation, often in palliative-care settings and sometimes in combination products such as co-danthramer. Toxicity is important: chronic exposure has been linked to abdominal cramping, diarrhea, electrolyte depletion, melanosis coli, skin irritation from fecal contact, and notably genotoxicity and carcinogenicity concerns, including associations with gastrointestinal and urinary tract tumors in animal studies, which led to major restrictions or withdrawal in many jurisdictions. Clinically, its use has therefore become limited and largely historical despite efficacy as a stimulant laxative."
966,DB04818,Iproniazid,CC(C)NNC(=O)C1=CC=NC=C1,"Iproniazid (DrugBank DB04818) is an isonicotinic acid hydrazide derivative structurally characterized by a pyridine ring bearing a carboxylic acid hydrazide that is N-isopropyl substituted, making it a hydrazine-containing aromatic heterocycle and placing it in the monoamine oxidase inhibitor and hydrazide chemical categories; its core scaffold is the isonicotinoyl hydrazine, closely related to isoniazid, with similar drugs including other nonselective irreversible MAO inhibitors such as phenelzine, isocarboxazid, and tranylcypromine, as well as the antitubercular hydrazide isoniazid. Pharmacokinetically, iproniazid is orally absorbed, distributes systemically including into the central nervous system, undergoes extensive hepatic biotransformation with hydrolytic and oxidative metabolism generating reactive hydrazine intermediates, and is eliminated mainly in urine as metabolites. Its principal pharmacologic targets are monoamine oxidase A and monoamine oxidase B, which it inhibits irreversibly, increasing synaptic serotonin, norepinephrine, and dopamine; it has also been associated with interactions affecting pyridoxine-dependent pathways and hepatic enzymes. Historically it was indicated for major depressive disorder, especially psychomotor retardation, anergic depression, and some cases of treatment-resistant depression, after initial observation of mood elevation in tuberculosis patients. Clinical use was largely abandoned because of toxicity, notably severe hepatotoxicity ranging from asymptomatic transaminase elevation to fulminant hepatitis and hepatic necrosis, plus hypertensive crisis with tyramine, serotonin toxicity in combinations, orthostatic hypotension, weight gain, insomnia, agitation, dry mouth, constipation, dizziness, and peripheral neuropathy."
967,DB04819,Methapyrilene,CN(C)CCN(CC1=CC=CS1)C1=NC=CC=C1,"Methapyrilene (DrugBank DB04819) is a first-generation H1-antihistamine characterized structurally as an ethylenediamine derivative bearing a 2-pyridylaryl antihistamine pharmacophore, with a flexible diamine linker connecting heteroaromatic and lipophilic substituents that support histamine H1 receptor antagonism; chemically it belongs to the ethylenediamine antihistamine class, and its core scaffold is the classic diaryl/heteroaryl-substituted ethylenediamine motif seen in early sedating antiallergics. Similar drugs include other first-generation H1 blockers such as tripelennamine, pyrilamine, antazoline, and mepyramine, which share related aromatic-amine scaffolds and central nervous system penetration. Its principal target is the histamine H1 receptor (HRH1), with likely ancillary anticholinergic and sedative off-target effects typical of the class. Methapyrilene was historically used for symptomatic relief of allergic rhinitis, urticaria, pruritus, and other histamine-mediated symptoms, and in some settings as a nighttime cold or allergy remedy because of its sedative properties. Pharmacokinetically, it is expected to be well absorbed orally, widely distributed, cross the blood-brain barrier, undergo extensive hepatic biotransformation including oxidative metabolism, and be eliminated mainly as metabolites in urine. Adverse effects are typical of older antihistamines and include drowsiness, impaired psychomotor performance, dry mouth, blurred vision, constipation, and urinary retention. Toxicity is notable because methapyrilene became a classic experimental hepatotoxicant and rodent hepatocarcinogen, producing liver injury with chronic exposure, which led to abandonment of routine clinical use; overdose or excessive exposure may also exacerbate CNS depression and anticholinergic toxicity."
968,DB04822,Oxeladin,CCN(CC)CCOCCOC(=O)C(CC)(CC)C1=CC=CC=C1,"Oxeladin (DrugBank DB04822) is a centrally acting, non-opioid antitussive whose structure is characterized by a lipophilic aromatic ether–ester framework built around a substituted phenyl ring linked through an alkoxy chain to an aminoalcohol-derived ester, giving it the properties of a basic, membrane-permeable tertiary amine; chemically it is generally classified as a synthetic cough suppressant within the arylalkylamine/antitussive ester class, with a scaffold that can be described as an aromatic ether connected to a dialkylaminoalkyl side chain. It is structurally and pharmacologically similar to older non-narcotic antitussives such as cloperastine, levodropropizine, tipepidine, and in broad therapeutic intent to dextromethorphan, although it lacks the classic opioid scaffold. Its principal pharmacologic effect is suppression of the medullary cough center, but specific high-confidence molecular target proteins are not well established in modern target-based databases, so no definitive receptor or enzyme target can be assigned. After oral administration, oxeladin is understood to be absorbed adequately, distributed widely including likely CNS penetration because of its lipophilicity, metabolized predominantly in the liver by ester hydrolysis and oxidative biotransformation, and excreted mainly as metabolites in urine. It is indicated for symptomatic relief of nonproductive cough, for example cough associated with upper respiratory tract infections, bronchitic irritation, or inflammatory airway states. Adverse effects are usually mild and include drowsiness, dizziness, nausea, vomiting, dry mouth, and gastrointestinal discomfort; excessive exposure may produce CNS depression, agitation, or anticholinergic-like effects. Clinical use has therefore been as short-term symptomatic cough suppression in adults and children where an opioid antitussive is undesirable."
969,DB04823,Oxyphenisatin,OC1=CC=C(C=C1)C1(C(=O)NC2=CC=CC=C12)C1=CC=C(O)C=C1,"Oxyphenisatin (DrugBank DB04823) is a triarylmethane-derived diphenylmethane laxative characterized structurally by a rigid aromatic core bearing two para-hydroxylated phenyl rings linked to a carbonyl-containing heterocyclic or phenolic framework, giving it a planar, highly conjugated bis-aryl scaffold typical of stimulant cathartics; chemically, it is classified as a phenolphthalein-related stimulant laxative and more broadly as a synthetic polyaromatic phenolic compound, with a scaffold most closely related to diaryl/triarylmethane cathartics. Similar drugs include phenolphthalein, bisacodyl, sodium picosulfate, and older anthraquinone or diphenylmethane stimulant laxatives that promote colonic evacuation. Its pharmacokinetics were never extensively modernized, but historical use suggests limited systemic absorption after oral administration, predominant action within the intestine, some hepatic uptake and biotransformation likely via phase II conjugation of phenolic groups, biliary contribution to elimination, and fecal excretion as the major route with minor urinary elimination of absorbed metabolites. Oxyphenisatin is notable for clinically important hepatotoxicity, including cholestatic and hepatocellular hepatitis, jaundice, elevated transaminases, and rare severe liver injury after repeated use, which led to withdrawal or abandonment in many markets; GI toxicity such as cramping and diarrhea also occurs. No specific high-affinity molecular target protein is well established, and its effect is generally attributed to direct stimulation of enteric mucosa and colonic motility with altered fluid secretion rather than a defined receptor. It was indicated for constipation and bowel evacuation, used historically for short-term relief of refractory constipation or as a cathartic, but adverse effects including abdominal pain, diarrhea, nausea, electrolyte loss, dependence with chronic use, and especially hepatotoxicity severely limited clinical use."
970,DB04830,Buformin,CCCC\N=C(/N)N=C(N)N,"Buformin (DrugBank DB04830) is a synthetic biguanide antihyperglycemic agent whose structure consists of a substituted biguanide core bearing a butyl side chain, giving a small, strongly basic, highly polar cationic molecule at physiological pH; chemically it belongs to the biguanide class and is built on the aminoguanidine/biguanide scaffold shared with metformin and phenformin, its closest analogues, with antidiabetic similarity also extending mechanistically to other insulin-sensitizing agents though not structurally to sulfonylureas or thiazolidinediones. Buformin is absorbed orally, distributes mainly into hydrophilic tissues with limited protein binding, enters cells through organic cation transport systems, undergoes little or no significant hepatic metabolism, and is eliminated predominantly unchanged by the kidney, so accumulation is promoted by renal impairment and states of hypoxia. Its principal pharmacologic targets are not a single high-affinity receptor but cellular energy-sensing pathways, especially mitochondrial respiratory-chain complex I as a functional site of action, with downstream activation of AMP-activated protein kinase; transport-related proteins likely relevant to disposition include OCT1, OCT2, and MATE transporters. It was used for type 2 diabetes mellitus, particularly hyperglycemia associated with insulin resistance and obesity, to reduce hepatic glucose output and improve peripheral glucose utilization. Major toxicities include lactic acidosis, sometimes fatal, especially in renal failure, cardiovascular collapse, sepsis, liver disease, or alcohol excess; other adverse effects include nausea, vomiting, diarrhea, abdominal discomfort, anorexia, weakness, and possible weight loss or vitamin B12 deficiency with chronic use. Clinically, buformin saw historical use as an oral antidiabetic but was largely withdrawn or restricted in many markets because its risk-benefit profile, particularly regarding lactic acidosis, was less favorable than metformin."
971,DB04831,Tienilic acid,OC(=O)COC1=C(Cl)C(Cl)=C(C=C1)C(=O)C1=CC=CS1,"Tienilic acid (DrugBank DB04831) is a thiophene-containing arylacetic acid diuretic structurally characterized by a chlorinated thiophene ring linked to a thenoyl-substituted phenoxy/acetic acid framework, giving an acidic, lipophilic heteroaromatic molecule that behaves as a halogenated thiophene carboxylic acid derivative; chemically it is classified among uricosuric thiazide-like diuretic agents, with a thiophene-acetic acid/aryloxy acid scaffold related functionally, though not identically, to other diuretics such as indapamide, chlorthalidone, hydrochlorothiazide, and the uricosuric diuretic/antihypertensive class more broadly. It was developed for hypertension because it promoted natriuresis and lowered serum urate, likely through inhibition of renal tubular electrolyte reabsorption, with the kidney as the principal site of action; specific target assignment has historically been limited, but functional interaction with renal electrolyte transport systems and urate handling pathways is recognized, and cytochrome P450 2C9 is an important bioactivation-related protein rather than a therapeutic target. After oral administration it is absorbed systemically, distributed with substantial plasma protein binding, undergoes extensive hepatic metabolism including oxidation of the thiophene ring to reactive intermediates, and is eliminated through renal excretion of parent drug and metabolites. Its major clinical limitation was severe hepatotoxicity, including hepatitis, cholestatic injury, fulminant liver failure, and formation of anti-liver/kidney microsomal autoantibodies linked to CYP2C9-centered immune reactions; other adverse effects included typical diuretic events such as dizziness, polyuria, electrolyte disturbances, hypotension, hyperuricemia-related fluctuations despite uricosuric action, and gastrointestinal intolerance. Clinically, it was used as an antihypertensive and diuretic in edema-associated states, but was withdrawn because idiosyncratic hepatic toxicity outweighed benefit."
972,DB04836,Amineptine,OC(=O)CCCCCCNC1C2=CC=CC=C2CCC2=CC=CC=C12,"Amineptine (DrugBank DB04836) is a tricyclic antidepressant distinguished structurally from classical dibenzazepine or dibenzocycloheptene agents by a dibenzoazepine-like tricyclic core bearing a seven-membered nitrogen-containing central ring and a substituted aminoacyl side chain that confers relatively selective dopaminergic activity; chemically it is categorized as an atypical tricyclic antidepressant, with a tricyclic aminoketone/amino acid-derived scaffold closely related in overall ring architecture to imipramine, clomipramine, and tianeptine, although pharmacologically it more closely resembles dopamine reuptake inhibitors such as bupropion in part of its action profile. Its principal known target is the dopamine transporter SLC6A3, with weaker effects on norepinephrine uptake and minimal direct serotonergic activity. It was indicated for major depressive episodes, especially depression with psychomotor retardation, anergia, or low motivation, and was used clinically as an oral antidepressant in some European countries. After oral administration it is absorbed reasonably well, distributes systemically with likely high tissue and protein binding typical of lipophilic tricyclics, undergoes extensive hepatic metabolism including beta-oxidation and side-chain biotransformation to active and inactive metabolites, and is eliminated mainly in urine as metabolites with some biliary/fecal excretion. Its adverse-effect profile included insomnia, agitation, anxiety, palpitations, nausea, dry mouth, and dizziness, while toxicity was notable for abuse and dependence liability, stimulant-like behavioral effects, hepatotoxicity including cytolytic or cholestatic hepatitis, and dermatologic reactions such as severe acneiform eruptions; overdose or misuse could produce neuropsychiatric excitation and cardiovascular complications. Because of these safety concerns, especially hepatotoxicity and misuse potential, its clinical use became highly restricted or withdrawn despite antidepressant efficacy."
973,DB04837,Clofedanol,CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl,"Clofedanol (DrugBank DB04837) is a centrally acting non-opioid antitussive whose structure is characterized by a lipophilic triaryl tertiary carbinol framework, typically described as a substituted diphenyl/propanol-type alcohol bearing an aminoalkyl side chain, placing it in the broader chemical category of amino alcohol antitussives and giving it a benzhydryl-alkanol scaffold related to other cough suppressants with diaryl hydrophobic cores. Structurally and pharmacologically it resembles agents such as diphenhydramine, cloperastine, and to some extent dextromethorphan in antitussive use, although it is not an opioid and is more closely aligned by scaffold to benzhydryl ether/alcohol antihistamine-like compounds. Its mechanism is incompletely defined; no single high-confidence molecular target is universally established, but antitussive activity is generally attributed to central suppression of the medullary cough center, with possible weak interactions at histaminergic, muscarinic, or sigma-related pathways rather than a canonical opioid receptor mechanism. After oral administration, it is believed to be reasonably well absorbed, distributed into tissues including the central nervous system because of high lipophilicity, metabolized hepatically by oxidative and conjugative pathways, and excreted mainly in urine as metabolites with limited unchanged drug. It has been used for symptomatic treatment of nonproductive cough in upper respiratory tract infection, bronchitis, pharyngitis, and irritative cough states. Adverse effects include drowsiness, dizziness, dry mouth, nausea, and gastrointestinal discomfort; overdose or heightened sensitivity may produce marked sedation, confusion, anticholinergic-type effects, or impaired psychomotor performance. Toxicity data are limited, but caution is warranted in children, the elderly, and in combination with alcohol or other CNS depressants. Clinically, it has historically been used as an oral cough suppressant, particularly when reduction of cough reflex without narcotic exposure is desired."
974,DB04842,Fluspirilene,FC1=CC=C(C=C1)C(CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1)C1=CC=C(F)C=C1,"Fluspirilene (DB04842) is a long-acting diphenylbutylpiperidine antipsychotic whose structure is characterized by a lipophilic bis(aryl)-substituted butyl chain linked to a piperidine nitrogen and bearing fluorinated aromatic rings, giving a highly hydrophobic, conformationally flexible neuroleptic framework; chemically it belongs to the diphenylbutylpiperidine class, and its core scaffold is the piperidine–butyl–diaryl motif shared with related butyrophenone-like dopamine antagonists. Similar drugs include pimozide, penfluridol, and to a lesser extent haloperidol, which overlap in dopamine receptor blockade and antipsychotic profile. Its principal known target is dopamine D2 receptor antagonism, with additional affinity reported for D1, D3, D4, 5-HT2A, and possibly alpha-adrenergic receptors, consistent with suppression of mesolimbic dopaminergic signaling. Fluspirilene has been used primarily as a depot antipsychotic for chronic schizophrenia and other psychotic disorders, especially in patients with poor adherence, and can reduce hallucinations, delusions, agitation, and behavioral disorganization. After intramuscular depot administration it is absorbed slowly, distributes extensively into lipid-rich tissues and the CNS, shows prolonged apparent half-life due to depot release and tissue sequestration, undergoes hepatic oxidative metabolism, and is eliminated mainly as metabolites in feces and urine. Toxicity is typical of potent D2 antagonists and includes dose-related extrapyramidal toxicity, tardive dyskinesia, neuroleptic malignant syndrome, QT-related arrhythmogenic risk, sedation, and hypotension. Common adverse effects include parkinsonism, akathisia, dystonia, tremor, hyperprolactinemia, weight gain, anticholinergic complaints, and injection-site reactions. Clinically, it has been used mainly in maintenance treatment rather than acute sedation because of its slow onset and prolonged action."
