ID,Disease,Name
761,C0267509,Chronic idiopathic constipation
762,C0267919,Primary cholangitis
763,C0268108,Chronic arthritis due to gout
764,C0268119,Molybdenum cofactor deficiency
765,C0268381,Immunoglobulin Light-chain Amyloidosis
766,C0268407,Stiff heart syndrome
767,C0268490,Type I Tyrosinemias
768,C0268634,Disorders of fatty-acid metabolism
769,C0268821,Lower urinary tract infectious disease
770,C0269050,Endomyometritis
771,C0269398,Miscarriage with sepsis
772,C0269661,Vomiting as reason for care in pregnancy
773,C0270327,Nocturnal Enuresis
774,C0270425,Bipolar disorder in remission
775,C0270549,Generalized Anxiety Disorder
776,C0270846,"Seizure, Atonic"
777,C0271093,Stargardt Disease
778,C0271152,Ciliary block glaucoma
779,C0271429,AOM - Acute otitis media
780,C0271578,Female hypogonadism syndrome
781,C0271623,"Hypogonadism, Hypogonadotropic"
782,C0271852,Hypercalcemia due to hyperthyroidism
783,C0271932,Anemia of chronic renal failure
784,C0272286,Thrombocytopenia due to platelet alloimmunization
785,C0272293,Chronic idiopathic thrombocytopenic purpura
786,C0275550,Acute bacterial peritonitis (disorder)
787,C0275555,Acute bacterial epiglottitis
788,C0275556,Acute bacterial sinusitis
789,C0275566,Pulmonary actinomycosis
790,C0275652,Acute gonococcal urethritis
791,C0275665,Gonorrhea of rectum
792,C0275761,Pneumococcal pharyngitis
793,C0275793,Staphylococcal tonsillitis
794,C0275804,Streptococcal tonsillitis
795,C0275842,Latent early syphilis
796,C0275959,Acute tuberculosis
797,C0275979,Infection by Campylobacter fetus
798,C0275982,Campylobacter Enteritis
799,C0276026,Haemophilus influenzae pneumonia
800,C0276064,Sepsis caused by Bacteroides
801,C0276075,Infection caused by Pseudomonas aeruginosa
802,C0276085,Ecthyma gangrenosum
803,C0276088,Septicaemic colibacillosis
804,C0276089,Pneumonia caused by Escherichia coli
805,C0276180,"Mpox, Monkeypox"
806,C0276226,"Encephalitis, Herpes Simplex"
807,C0276228,Herpes simplex keratoconjunctivitis
808,C0276500,Human immunodeficiency virus I infection
809,C0276587,Nutritional deficiency with AIDS (acquired immunodeficiency syndrome)
810,C0276653,Invasive Pulmonary Aspergillosis
811,C0276688,Pulmonary cryptococcosis
812,C0276725,Disseminated sporotrichosis
813,C0276754,Onychomycosis caused by Trichophyton rubrum
814,C0276755,Onychomycosis caused by Trichophyton mentagrophytes
815,C0276758,Fusariosis
816,C0277528,Traveler's diarrhea
817,C0278139,Moderate pain (finding)
818,C0278140,Severe pain (finding)
819,C0278678,Metastatic Renal Cell Cancer
820,C0278987,Metastatic non-small cell lung cancer
821,C0278996,Cancer of Head and Neck
822,C0279543,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
823,C0280803,Primary Central Nervous System Lymphoma
824,C0281361,Adenocarcinoma of pancreas
825,C0282193,Iron Overload
826,C0282488,"Cystitis, Interstitial"
827,C0311375,Arsenic Poisoning
828,C0311389,"Urethritis, NOS"
829,C0334102,Lymphangiomatosis
830,C0334579,"Astrocytoma, Anaplastic"
831,C0338395,"Meningitis, Escherichia coli"
832,C0338396,Proteus meningitis
833,C0338437,Neurocysticercosis
834,C0338873,"Bipolar affective disorder, current episode manic"
835,C0338908,Mixed anxiety and depressive disorder
836,C0339170,Fungal conjunctivitis
837,C0339293,Corneal Perforation
838,C0339498,Central retinal vein occlusion with macular edema
839,C0339507,
840,C0339932,Acute Moraxella catarrhalis bronchitis
841,C0339933,Acute bacterial bronchitis
842,C0339959,Chlamydial Pneumonia
843,C0339968,Neonatal pneumonia
844,C0340354,Q fever endocarditis
845,C0340968,Deficiency of pyruvate kinase
846,C0341503,Bacterial Peritonitis
847,C0341823,Epithelial tumor of ovary
848,C0341950,Severe pre-eclampsia
849,C0342257,Diabetes Complications
850,C0342527,Deficiency of testosterone biosynthesis
851,C0342634,Neonatal hypocalcemia
852,C0342882,Familial hypercholesterolemia - heterozygous
853,C0342907,Sitosterolemia
854,C0342938,Pantothenic acid deficiency
855,C0342985,Superficial bacterial infection of skin
856,C0343065,dermographism
857,C0343337,Pseudomonas gastrointestinal tract infection
858,C0343378,Helicobacter pylori-associated gastritis
859,C0343402,Bacterial infection caused by Klebsiella pneumoniae
860,C0343467,Erythema nodosum leprosum (disorder)
861,C0343500,Gas gangrene caused by clostridium perfringens
862,C0343532,Streptococcal toxic shock syndrome
863,C0343833,Tertiary lesion of yaws
864,C0343886,Candidiasis of intestine
865,C0345468,Transplanted organ rejection
866,C0345904,Cancer of Liver
867,C0346161,Malignant epithelial tumour of ovary
868,C0346421,Chronic Eosinophilic Leukemia
869,C0346976,Metastatic malignant neoplasm to pancreas
870,C0346993,Secondary malignant neoplasm of breast
871,C0347176,Carcinoma in situ of fallopian tube
872,C0347950,Asthma attack NOS
873,C0348868,Listerial endocarditis
874,C0348898,Irritable bowel syndrome with diarrhea
875,C0349009,Candidal septicemia (disorder)
876,C0349464,Korsakoff Syndrome
877,C0349506,Photosensitization
878,C0349543,Glioblastoma multiforme of brain
879,C0349649,Pulmonary lymphangioleiomyomatosis
880,C0349650,Non-tuberculous mycobacterial pneumonia
881,C0349734,Female pelvic cellulitis
882,C0349774,Diverticulitis of gastrointestinal tract
883,C0349790,Asthma attack
884,C0376358,Prostate Cancer
885,C0392164,Pulmonary Cystic Fibrosis
886,C0392171,Flu-Like Symptoms
887,C0392445,Necrobiosis Lipoidica Diabeticorum
888,C0392618,Postoperative infection
889,C0393735,Headache Disorders
890,C0393760,Initial Insomnia
891,C0393764,Excessive daytime sleepiness - normal night sleep
892,C0395818,Malignant otitis externa caused by Pseudomonas aeruginosa
893,C0396072,Laryngeal papillomatosis
894,C0400877,Postoperative ileus
895,C0400968,Liver transplant rejection
896,C0401149,"Constipation, chronic"
897,C0401160,Chemotherapy-induced nausea and vomiting
898,C0403643,Overactive bladder
899,C0405580,Adrenal Insufficiency
900,C0406317,Chronic small plaque psoriasis
901,C0406326,Psoriasis of scalp
902,C0406486,Ocular Rosacea
903,C0412850,Poisoning caused by opiate analgesic drug (disorder)
904,C0421162,Meningococcus carrier
905,C0423234,Punctate keratopathy
906,C0423673,Pain in spine
907,C0423775,Pityriasis simplex
908,C0424620,Excess subcutaneous fat
909,C0426639,Incomplete passage of stool
910,C0428974,"Arrhythmias, supraventricular"
911,C0456103,Neonatal Sepsis
912,C0456107,Neonatal meningitis
913,C0458960,Peripheral neuropathic pain
914,C0472713,Anemia of renal disease
915,C0473527,Hypoalphalipoproteinemias
916,C0474368,Labor Pain
917,C0475811,Disorder of keratinization
918,C0494475,"Seizure, Tonic-Clonic"
919,C0497327,Dementia
920,C0497496,Prostatitis/seminal vesiculitis
921,C0519030,Pneumonia caused by Klebsiella pneumoniae
922,C0520577,Urethral atrophy
923,C0520676,Premenstrual Dysphoric Disorder
924,C0520679,"Sleep Apnea, Obstructive"
925,C0520767,Staphylococcal endocarditis
926,C0520775,Klebsiella cystitis
927,C0520777,Chlamydial pelvic inflammatory disease
928,C0520909,Postoperative Nausea and Vomiting
929,C0524662,Opioid Dependences
930,C0524688,Pneumonic Plague
931,C0524702,Pulmonary Thromboembolisms
932,C0524909,"Hepatitis B, Chronic"
933,C0524910,"Hepatitis C, Chronic"
934,C0542269,Non-Q wave myocardial infarction (disorder)
935,C0543822,Atherosclerotic occlusive disease
936,C0546999,Cutaneous larva migrans
937,C0549315,Hydatid mole
938,C0549398,Meibomitis
939,C0553580,"Sarcoma, Ewing"
940,C0554628,Group A Streptococcal Infections
941,C0555198,Malignant Glioma
942,C0558595,Uric acid nephrolithiasis
943,C0572583,Antimetabolite overdose
944,C0577690,Proteus septicemia (disorder)
945,C0577708,Urinary tract infection caused by Escherichia coli
946,C0577709,Proteus urinary tract infection
947,C0578870,Chronic Spontaneous Urticarias
948,C0580182,Hyperhidrosis of axilla
949,C0581358,Gastric spasm
950,C0581377,Decompensated cardiac failure
951,C0585442,Osteosarcoma of Bone
952,C0588233,Sepsis caused by enterococcus
953,C0600040,"Cystitis, Chronic Interstitial"
954,C0600041,Infection of bladder
955,C0600142,Hot Flashes
956,C0600177,Low Cardiac Output Syndrome
957,C0677607,Hashimoto Disease
958,C0677659,Gastro-oesophageal reflux disease with oesophagitis
959,C0678222,Breast Carcinomas
960,C0684256,Bacterial sepsis
961,C0686068,Metastatic malignant neoplasm to stomach
962,C0686347,Tardive Dyskinesia
963,C0686510,Carcinoma in situ of adrenal cortex
964,C0687148,Mineral deficiency
965,C0694549,Community-Acquired Pneumonia
966,C0700053,"Hypertrophic Subaortic Stenosis, Idiopathic"
967,C0700345,"Candidiasis, Vulvovaginal"
968,C0700359,Organophosphate Poisoning
969,C0701163,Adrenogenital disorder (disorder)
970,C0729524,Bacterial urinary infection
971,C0729586,Infective otitis media
972,C0729587,Infective blepharitis
973,C0729772,Infective laryngitis
974,C0730607,Severe chronic obstructive pulmonary disease
975,C0740394,Hyperuricemia
976,C0740441,Acute diarrhea
977,C0740447,Diabetic peripheral neuropathy
978,C0741292,Paroxysmal atrial flutter
979,C0742964,Bacterial cystitis
980,C0745136,Hypertensive Emergency
981,C0745138,Hypertensive Urgency
982,C0748052,Erythrodermic psoriasis
983,C0750952,Biliary Tract Cancers
984,C0750979,"Brain Neoplasms, Malignant, Primary"
985,C0751122,"Epilepsy, Myoclonic, Infantile, Severe"
986,C0751362,Narcolepsy-Cataplexy Syndrome
987,C0751434,"Phenylketonuria, Classical"
988,C0751436,"Hyperphenylalaninemia, Non Phenylketonuric"
989,C0751753,Carbamoyl-Phosphate Synthase I Deficiency Disease
990,C0751967,"Multiple Sclerosis, Relapsing-Remitting"
991,C0752347,Lewy Body Disease
992,C0849907,Itching of ear
993,C0850149,Dry Cough
994,C0853193,Bipolar I disorder
995,C0854211,Bacterial keratitis
996,C0854215,Bacterial meningitis caused by gram-negative bacteria
997,C0854328,Infection caused by anaerobic bacteria
998,C0854467,Bone marrow suppression
999,C0855095,Small lymphocytic lymphoma
1000,C0855112,Refractory Diffuse Large B-Cell Lymphoma
1001,C0856695,Acute exacerbation of chronic bronchitis
1002,C0860594,"Malignant melanoma, metastatic"
1003,C0862889,Superficial basal cell carcinoma
1004,C0867389,Chronic graft-versus-host disease
1005,C0870082,Excessive cornification
1006,C0877445,Candidemia
1007,C0878675,Erdheim-Chester Disease
1008,C0917796,"Optic Atrophy, Hereditary, Leber"
1009,C0917798,Cerebral Ischemias
1010,C0917799,Hypersomnias
1011,C0917801,Insomnia
1012,C0936215,Vitamin B 6 Deficiency
1013,C0948008,Ischemic Stroke
1014,C0948089,Acute Coronary Syndrome
1015,C0948204,Infection caused by Citrobacter
1016,C0949083,"Pneumonia, Hospital Acquired"
1017,C1096562,Peptostreptococcus infection
1018,C1112209,Intraabdominal Infections
1019,C1112486,Aggressive Systemic Mastocytoses
1020,C1112709,NGU - Non-gonococcal urethritis
1021,C1135868,Gestational Trophoblastic Neoplasm
1022,C1140680,Ovarian Cancer
1023,C1142132,Carnitine deficiency (disorder)
1024,C1260880,Rhinorrhea
1025,C1260899,"Anemia, Diamond-Blackfan"
1026,C1260911,Pasteurella multocida infectious disease
1027,C1260915,Late latent syphilis
1028,C1260917,Proteus pneumonia
1029,C1261256,Pelvic inflammatory disease caused by Metamycoplasma hominis
1030,C1261473,Sarcoma
1031,C1262019,Uremic pruritus
1032,C1262117,Fungal keratitis
1033,C1263758,Female genital tract infection
1034,C1263846,Attention Deficit Disorder with Hyperactivity
1035,C1269683,Major Depressive Disorder
1036,C1272826,FIGO stage finding for vulvar carcinoma
1037,C1273489,Asthma night-time symptoms
1038,C1274321,Recurrent herpes simplex labialis
1039,C1274323,Recurrent genital herpes simplex
1040,C1274355,Streptococcal infection of skin
1041,C1274469,Onychomycosis of fingernails
1042,C1274470,Onychomycosis of toenails
1043,C1275684,Meibomian Gland Dysfunction
1044,C1275687,HZV (herpes zoster virus) keratitis
1045,C1276801,Erysipeloid
1046,C1278797,Postnatal infection
1047,C1278807,Chlamydial urethritis
1048,C1282496,Metastasis from malignant tumour of prostate
1049,C1282500,Metastasis from malignant tumor of colon (disorder)
1050,C1282509,Metastasis from malignant tumor of thyroid (disorder)
1051,C1288351,Malignant Neoplasm (Morphology)
1052,C1290159,Subacute bursitis
1053,C1292758,Precursor T-Cell Lymphoblastic Lymphoma
1054,C1299579,Early cirrhosis
1055,C1303258,Acute ST segment elevation myocardial infarction (disorder)
1056,C1306632,Primary malignant neoplasm of gastrointestinal tract
1057,C1306835,Periarthritis of shoulder
1058,C1318543,Giant Cell Tumor of Tendon Sheath
1059,C1318559,Fusospirochetal pharyngitis (disorder)
1060,C1318973,Staphylococcus aureus Infection
1061,C1320183,Infection caused by Enterococcus
1062,C1320547,Allergic otitis externa
1063,C1321482,Behçet disease affecting oral mucosa
1064,C1328252,Mucocutaneous leishmaniasis
1065,C1328504,Hormone refractory prostate cancer
1066,C1367654,Marginal Zone B-Cell Lymphoma
1067,C1384589,Tinea Cruris
1068,C1384606,Dyspareunia
1069,C1444173,Arthropod bite wound
1070,C1510471,"Deficiencies, Vitamin"
1071,C1527336,Sjogren's Syndrome
1072,C1527407,Eosinophilic Pneumonias
1073,C1535478,Granulomatosis infantisepticum (disorder)
1074,C1541061,Malignant neoplasm of common bile duct (& [carcinoma])
1075,C1561643,Chronic Kidney Diseases
1076,C1561828,Anemia in chronic kidney disease
1077,C1562029,Hormone receptor positive malignant neoplasm of breast
1078,C1562430,Muscle spasticity of spinal origin
1079,C1562585,"Leprosy, Multibacillary"
1080,C1563054,Dapsone resistant leprosy
1081,C1619727,Decompensated cirrhosis of liver
1082,C1623040,Breastfeeding mother
1083,C1632842,Complicated appendicitis
1084,C1692886,"Arthritides, Bacterial"
1085,C1704231,Metastatic Malignant Neoplasm in the Leptomeninges
1086,C1704431,Electrolyte disorders
1087,C1719906,Meningitis caused by Klebsiella aerogenes
1088,C1720135,Gastrointestinal infection caused by Klebsiella aerogenes
1089,C1720498,Toxoplasmosis associated with acquired immunodeficiency syndrome (disorder)
1090,C1720538,Persistent erythema of skin
1091,C1739363,"Hypertrophies, Prostatic"
1092,C1761609,Aspiration Pneumonitis
1093,C1800706,Idiopathic Pulmonary Fibrosis
1094,C1827301,Extensively Drug-Resistant Tuberculosis
1095,C1828079,Dementia associated with Parkinson's Disease
1096,C1847835,VITILIGO
1097,C1857854,Proopiomelanocortin Deficiency
1098,C1868889,Irritable bowel syndrome characterized by constipation
1099,C1955629,Human Herpesvirus 6 encephalitis
1100,C1959799,Calcium renal calculus
1101,C1960398,HER2-positive carcinoma of breast
1102,C1960639,At increased risk of venous thromboembolus
1103,C1960675,Long-chain fatty acid transport deficiency
1104,C1960925,Epidermal growth factor receptor positive non-small cell lung cancer
1105,C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
1106,C1997322,Chlamydia trachomatis infection of genital structure
1107,C1997351,Left ventricular cardiac dysfunction
1108,C1997614,Thromboembolism of vein
1109,C1997728,Osteomyelitis caused by Staphylococcus aureus
1110,C2062473,Acute pyelonephritis caused by bacterium
1111,C2215257,Acute Postoperative Pain
1112,C2219717,menstrual periods stopped for over 6 months
1113,C2239176,"Carcinoma, Hepatocellular"
1114,C2242472,Bone infection
1115,C2316304,Human epidermal growth factor 2 negative carcinoma of breast
1116,C2316460,Pseudobulbar Affect
1117,C2347126,Microscopic Polyarteritis
1118,C2349261,Relapse multiple myeloma
1119,C2349530,Pneumonia caused by Staphylococcus aureus
1120,C2349994,tinea barbae
1121,C2363973,Chronic Thromboembolic Pulmonary Hypertension
1122,C2607914,"Rhinitis, Allergic"
1123,C2711180,Influenza caused by Influenza A virus
1124,C2711256,Ischemic priapism
1125,C2711653,Epilepsy characterized by intractable complex partial seizures
1126,C2721580,Breakthrough cancer pain
1127,C2733595,Pulmonary Mycobacterium avium complex infection
1128,C2887084,Sepsis caused by Streptococcus pneumoniae (disorder)
1129,C2887088,Sepsis caused by Staphylococcus aureus
1130,C2887091,Severe sepsis with acute organ dysfunction caused by Haemophilus influenzae
1131,C2887096,Sepsis caused by Pseudomonas
1132,C2887097,Severe sepsis with acute organ dysfunction caused by Serratia
1133,C2894027,Post traumatic osteoarthritis
1134,C2931187,"Cystinosis, Nephropathic"
1135,C2936781,Thomsen Generalized Myotonia
1136,C2937222,UC - Ulcerative colitis confined to rectum
1137,C2960008,
1138,C2973725,Pulmonary Arterial Hypertension
1139,C2981142,Refractory anemia
1140,C3163805,Carcinoma of female breast
1141,C3163829,Severe sepsis with acute organ dysfunction caused by Gram-negative bacteria
1142,C3163939,Carcinoma of thyroid
1143,C3203356,Prothrombin deficiency
1144,C3495801,Granulomatosis with Polyangiitis
1145,C3661921,Perioperative hypertension
1146,C3661933,Dyslipidemia due to type 2 diabetes mellitus
1147,C3662038,Chronic kidney disease due to type 2 diabetes mellitus
1148,C3697010,Ulcerative colitis in remission
1149,C3698411,Asymptomatic left ventricular systolic dysfunction
1150,C3805232,Post-polycythemia vera myelofibrosis
1151,C3805233,Myelofibrosis due to and following essential thrombocythaemia
1152,C3854116,Lipodystrophy due to HIV and antiretroviral therapy
1153,C3872606,Recurrent candidiasis of vagina
1154,C3874358,Therapeutic opioid induced constipation
1155,C3875321,Inflammatory dermatosis (disorder)
1156,C3887486,Interstitial fibrosis
1157,C3888018,Congenital Hyperinsulinism
1158,C4038730,Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome
1159,C4040491,Bronchopneumonia caused by Haemophilus influenzae
1160,C4076057,Urinary tract infection caused by Klebsiella
1161,C4288754,Metastatic urothelial carcinoma (disorder)
1162,C4302369,Primary thymic carcinoma
1163,C4302554,Reactive oxygen species 1 positive non-small cell lung cancer
1164,C4303663,Extensive stage primary small cell carcinoma of lung
1165,C4304383,Influenza caused by pandemic influenza virus
1166,C4305467,Well-differentiated neuroendocrine tumor of pancreas / Neuroendocrine tumor of pancreas
1167,C4510691,Pneumonia caused by Chlamydia pneumoniae
1168,C4543165,Acute myeloid leukemia with FMS-like tyrosine kinase-3 mutation
1169,C4545381,Myeloid and/or lymphoid neoplasm associated with platelet derived growth factor receptor alpha rearrangement
1170,C4551683,Chromaffin paraganglioma
1171,C4552486,Chronic refractory cough
1172,C4708088,"Germline BRCA-mutated, HER2-negative metastatic breast cancer"
1173,C4750718,Cyclin-dependent kinase-like 5 deficiency
1174,C5190725,Abnormal uterine bleeding due to uterine fibroid
1175,C5191640,Obesity due to leptin receptor gene deficiency
1176,C5192106,Solid neoplasm with neurotrophic receptor tyrosine kinase gene fusion
1177,C5203670,COVID-19
1178,C5244027,Pneumonia caused by SARS-CoV-2
1179,C5394779,Malignant melanoma with BRAF V600E mutation
1180,C5394780,Anaplastic lymphoma kinase fusion oncogene positive non-small cell lung cancer
