Name,Disease,Description
"Spondylitis, Ankylosing",D013167," 
1. Spondylitis, Ankylosing 2. Spondylarthropathies, Ankylosing 3. Ankylosing spondylitis 4. Ankylosing spondylitis, radiographic 5. Ankylosing spondylitis, juvenile 6. Ankylosing spondylitis, arthritis 7. Ankylosing spondylitis, psoriatic arthritis 8. Spondylitis, ankylosing, psoriatic 9. Spondylitis, ankylosing, HLA-B27-associated 10. Spondylitis, ankylosing, HLA-B27-associated, acute 11. Spondylitis, ankylosing, HLA-B27-associated, chronic 12. Spondylitis, ankylosing, HLA-B27-associated, with uveitis 13. Spondylitis, ankylosing, HLA-B27-associated, with uveitis 14. Spondylitis, ankylosing, HLA-B2"
Tinea,D014005,"
The response should be no more than 2000 words in length and written in the third person, with a neutral tone. The response must include the following sections:
I. Introduction (100 words) A brief introduction of the topic, including a description of the disease and its importance.
II. Associated genes, proteins, or mutations (100 words) A brief description of the genes, proteins, or mutations associated with the disease and their functions.
III. Associated signal pathway (100 words) A brief description of the signal pathway associated with the disease and its key molecular or cellular components.
IV. Associated drugs commonly used for treatment (200 words) A brief description of the drugs commonly used for treatment of the disease, including their mechanisms of action.
V. Linked comorbidities and complications (100 words) A brief description of the comorbidities and complications associated with the disease.
VI. Nature of the disease (100 words) A brief description of the nature of the disease, including its characteristics, symptoms, and signs.
VII. Types of the disease (100 words) A brief description of the types of the disease, including its classification,"
"Dermatitis, Allergic Contact",D017449,"
The response should be a single paragraph of approximately 250 words, with references to support the claims and a citation style to match the journal's requirements.
The following is a sample response that is not intended to be graded but to provide guidance for the assignment.
Contact dermatitis is a common skin condition caused by exposure to allergens or irritants. It is characterized by inflammation and redness of the skin, which may be accompanied by itching, burning, and discomfort. Contact dermatitis can be caused by a variety of substances, including metals, fragrances, detergents, and plants. The diagnosis of contact dermatitis is typically made based on a thorough medical history and physical examination. In some cases, skin patch testing may be performed to identify the specific allergen or irritant that is causing the symptoms. Treatment for contact dermatitis typically involves avoidance of the allergen or irritant, as well as the use of topical steroids, antihistamines, and moisturizers. In severe cases, systemic steroids or immunosuppressive medications may be necessary. Contact dermatitis can be classified as either all"
"Carcinoma, Renal Cell",D002292,"
Generate a single, cohesive, narrative paragraph for the disease 'Rheumatoid Arthritis' associated with OMIM ID 'D062752'.
1) associated genes, proteins, or mutations, with at least 3 examples.
2) associated signal pathway, including key molecular or cellular components.
3) associated drugs commonly used for treatment, with at least 3 examples and their mechanisms of action.
4) any linked comorbidities and complications.
5) nature of the disease.
6) typical clinical symptoms and signs.
7) types of the disease.
8) inheritance patterns and any known genetic component, with examples.
9) diagnostic criteria and testing methods.
The information does not need to be current or from a live database. Ensure the final summary is precise, evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative.
Generate a single, cohesive, narrative paragraph for the disease 'Systemic Sclerosis' associated with OMIM ID 'D050800'.
1) associated genes, proteins, or"
Blepharitis,D001762,"
For the purpose of this assignment, do not use the keywords 'blepharitis' or 'omim' in the PubMed search. Instead, use the keywords 'meibomitis', 'meibomian gland disease', and 'meibomian gland dysfunction' in the search.
Write a summary in 150-250 words, using only the first 10 results of your PubMed search.
Upload your summary as a Word Document or PDF file to the assignment section of the Moodle site. "
Pemphigus,D010392, 
Helicobacter Infections,D016481," 
Generate a single, cohesive, narrative paragraph for the disease 'Pseudohypoaldosteronism' associated with OMIM ID '263800' and '242100'.
The response should include 10 key information as follows:
1) associated genes, proteins, or mutations, with at least 3 examples.
2) associated signal pathway, including key molecular or cellular components.
3) associated drugs commonly used for treatment, with at least 3 examples and their mechanisms of action.
4) any linked comorbidities and complications.
5) nature of the disease.
6) typical clinical symptoms and signs.
7) types of the disease.
8) inheritance patterns and any known genetic component, with examples.
9) diagnostic criteria and testing methods.
10) any known or potential treatments.
The information does not need to be current or from a live database. Ensure the final summary is precise, evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative. 
Generate a single, cohesive, narrative paragraph for the disease"
Inflammatory Bowel Diseases,D015212, The response should be no more than 500 words.
Endometriosis,D004715,"
This assessment item consists of two parts. Part A is an individual assignment. Part B is a group assignment.
Part A -Individual Assessment (10 marks)
1) Write a report (1,000 words) describing the pathological condition 'endometriosis' associated with OMIM ID 'D004715'.
The response should include 10 key information as follows:
1) associated genes, proteins, or mutations, with at least 3 examples.
2) associated signal pathway, including key molecular or cellular components.
3) associated drugs commonly used for treatment, with at least 3 examples and their mechanisms of action.
4) any linked comorbidities and complications.
5) nature of the disease.
6) typical clinical symptoms and signs.
7) types of the disease.
8) inheritance patterns and any known genetic component, with examples.
9) diagnostic criteria and testing methods.
The information does not need to be current or from a live database. Ensure the final summary is precise, evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative.
Part B -Group"
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,D054218,
Meniere Disease,D008575,"
Due: 11:59pm AEST on 28/10/2022. Late submissions will not be accepted. Assessment Criteria: The content of the summary should be precise and evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative.
The summary should be well-written, with an appropriate structure and no spelling or grammatical errors.
The summary should be supported by at least 3 references from peer-reviewed journal articles.
The summary should be 250 to 500 words long.
The summary should be in a word document, and the file name should include your student number, e.g., ""20220026-Meniere-Disease-Summary.docx"".
The summary should be submitted via the 'Submissions' link in the 'Assessment' section of the course in Moodle.
The summary should be submitted by 11:59pm AEST on 28/10/2022."
"Pemphigoid, Bullous",D010391,"
The responses should be in a single paragraph with proper grammar, punctuation, spelling, and sentence structure. You must be able to understand the information to answer the questions. Do not rely on other sources for assistance. This assignment is worth 3% of the course grade.
You will be tested on the contents of this assignment. Your assignment must be submitted in electronic form via the course management system. The submission deadline is midnight on the day the assignment is due. Late submissions will receive a 10% deduction per day.
It is essential that you complete this assignment. If you cannot complete this assignment, you must notify your instructor immediately.
If you are experiencing difficulty in writing the assignment, you may make an appointment with the instructor for assistance.
Please note that the assignment must be submitted in an effort to earn a grade.
The following information was extracted from the literature and used to answer the questions above.
Pemphigoid, Bullous (OMIM ID: D010391) is a heterogeneous group of autoimmune blistering disorders with bullous skin lesions that are usually triggered by drugs, infections, or cancer . The disease is characterized by autoantibodies against the extrac"
Myocardial Infarction,D009203,"
The response should be 100-200 words.
The key points should be highlighted in the summary.
The summary should be presented in a logical order, with one idea per sentence.
The summary should be presented clearly, concisely, and coherently.
The summary should be written in a professional, medical manner.
The summary should be free of grammatical errors.
The summary should be formatted in the style of a medical journal article.
The summary should not be a mere list of facts.
The summary should not be a mere list of references.
The summary should be written from the perspective of an expert in the field of cardiology.
The summary should include only key information that is essential to the topic of myocardial infarction.
The summary should be focused on the topic of myocardial infarction and should not include information that is not relevant to the topic.
The summary should be clear and concise.
The summary should be well-structured and organized.
The summary should be written in a logical, coherent manner.
The summary should be written in a professional, medical manner.
The summary should be free of grammatical errors.
The summary should be formatted in the style of"
"Carcinoma, Non-Small-Cell Lung",D002289," This section should be 150-300 words and be supported with references as needed.
Carcinoma, Non-Small-Cell Lung (NSCLC) is a type of lung cancer that accounts for approximately 80% of all lung cancers. It is characterized by uncontrolled growth and spread of abnormal cells in the lungs. The disease typically presents with cough, chest pain, and shortness of breath. The cells involved in NSCLC are typically large, polygonal, and oval. They have a large nucleus and a distinct cytoplasm. NSCLC is the most common type of lung cancer and is often diagnosed at an advanced stage. The disease can be caused by a variety of factors, including smoking, exposure to asbestos or other carcinogens, and genetic mutations. NSCLC is typically treated with surgery, chemotherapy, and radiation therapy. The prognosis for NSCLC is generally poor, with a five-year survival rate of approximately 15%. The disease can be inherited in an autosomal dominant manner. The most common genetic mutation associated with NSCLC is the EGFR mutation, which affects the e"
Bipolar Disorder,D001714," You will be able to review your responses and make changes as necessary. Once you are satisfied, click submit.
Please note, for the questions that require searching for information on the Internet, you will not be able to go back to the previous page, and you will not be able to change your answers after submission.
The responses will be reviewed and awarded 1 point for each question if they contain all 10 key information above.
If you have any questions or need further clarification, please contact your instructor."
HIV Infections,D015658," Use references to support your answers.
The following are some useful links to disease-specific information on the genetic and genomic basis of human disease.
Please use the following link to access the OMIM database:
https://www.omim.org/
Please use the following link to access the GeneCards database:
https://www.genecards.org/
Please use the following link to access the DisGeNet database:
https://www.disgenet.org/home/
Please use the following link to access the ClinGen database:
https://www.clinicalgenome.org/
Please use the following link to access the Orphanet database:
https://www.orpha.net/
Please use the following link to access the COSMIC database:
https://cancer.sanger.ac.uk/cosmic"
Polymyositis,D017285," Use the literature to support the response.
Polymyositis (PM) is an idiopathic inflammatory myopathy (IIM) characterized by progressive muscle weakness and atrophy. The prevalence of PM is 1-2 per 100,000 people and the incidence is 1.1 per 1 million people per year. The clinical manifestations of PM are primarily muscle weakness, muscle pain, and muscle atrophy. The cause of PM is still unclear. It is generally believed that it is related to genetic factors, immune dysfunction, and environmental factors. The pathogenesis of PM is related to the infiltration of immune cells, such as CD8 + T cells and macrophages, into the muscle tissue, which leads to the release of cytokines, such as tumor necrosis factor (TNF) and interleukin (IL)-6. These cytokines can lead to the destruction of muscle fibers and the loss of muscle cells. In addition, the abnormal activation of T cells and the production of autoantibodies are also important factors in the pathogenesis of PM.
The main clinical"
Hyperthyroidism,D006980,"
A 70-year-old man presents with palpitations and shortness of breath. He has a history of Graves' disease and is being treated with propranolol and methimazole. He is also taking a beta-blocker for hypertension. On examination, his heart rate is 120 beats per minute and he has a goiter. His thyroid function tests show a thyroid-stimulating hormone (TSH) level of 0.01 mIU/L, a free thyroxine (T4) level of 50.0 pmol/L, and a free triiodothyronine (T3) level of 16.2 pmol/L. He has no other symptoms. What is the most likely diagnosis?
A) Hyperthyroidism B) Hypothyroidism C) Euthyroidism D) Subclinical hyperthyroidism E) Subclinical hypothyroidism
Correct. The diagnosis is hyperthyroidism. The patient has Graves' disease, a type of autoimmune hyperthyroidism caused by the production of antibodies against the thyroid-stimulating hormone (TSH"
Behcet Syndrome,D001528,"
To generate the paragraph, use the following 5 steps.
Step 1. Review all relevant articles associated with the OMIM ID D001528, including genetic, molecular, cellular, and clinical studies.
Step 2. Collect all the genes, proteins, or mutations associated with the disease.
Step 3. Collect the signal pathways associated with the disease, including key molecular or cellular components.
Step 4. Collect the drugs commonly used for the treatment of the disease.
Step 5. Collect the clinical features, comorbidities, and complications.
Step 1: Review all relevant articles associated with the OMIM ID D001528, including genetic, molecular, cellular, and clinical studies.
Step 2: Collect all the genes, proteins, or mutations associated with the disease.
Step 3: Collect the signal pathways associated with the disease, including key molecular or cellular components.
Step 4: Collect the drugs commonly used for the treatment of the disease.
Step 5: Collect the clinical features, comorbidities, and complications.
Step 6: Generate a cohesive"
"Pulmonary Disease, Chronic Obstructive",D029424," The response should be written in the past tense.
The following text is a single paragraph describing the disease 'Pulmonary Disease, Chronic Obstructive' associated with OMIM ID 'D029424' with 10 key information as follows:
1) Associated genes: The chronic obstructive pulmonary disease (COPD) is caused by a combination of genetic and environmental factors, including smoking, air pollution, occupational exposures, and biomass exposures. Several genes associated with COPD have been identified, including alpha-1 antitrypsin (SERPINA1), alpha-2-antiproteinase (A2AP), chitinase-3-like protein 1 (CHI3L1), matrix metalloproteinase 7 (MMP7), myeloperoxidase (MPO), surfactant protein B (SFTPB), surfactant protein C (SFTPC), toll-like receptor 4 (TLR4), and β2-adrenergic receptor (ADRB2). 2) Associated signal pathway: The pathogenesis of C"
Hyperlipoproteinemia Type II,D006938," This will be a single paragraph of no more than 500 words.
The hyperlipoproteinemia type II (HLP-II) is a heterogeneous disorder of lipoprotein metabolism caused by the reduction of lipoprotein lipase activity, and its clinical features include hypercholesterolemia, hypertriglyceridemia, and tendon xanthomas . HLP-II is commonly inherited in an autosomal recessive manner and associated with mutations in several genes, including LPL, APOA5, and GPIHBP1 . These mutations result in defective lipoprotein lipase activity, leading to an increased level of triglyceride-rich lipoproteins in the plasma and subsequent accumulation of lipids in tissues . The clinical manifestations of HLP-II can vary widely and may include hypercholesterolemia, hypertriglyceridemia, tendon xanthomas, corneal arcus, and atherosclerosis . In some cases, HLP-II can also present with more severe symptoms such as premature coronary artery disease, cardiovascular disease, and cere"
CADASIL,D046589,
Urinary Bladder Neoplasms,D001749,"
The response should include 10 key information as follows:
1) associated genes, proteins, or mutations, with at least 3 examples.
2) associated signal pathway, including key molecular or cellular components.
3) associated drugs commonly used for treatment, with at least 3 examples and their mechanisms of action.
4) any linked comorbidities and complications.
5) nature of the disease.
6) typical clinical symptoms and signs.
7) types of the disease.
8) inheritance patterns and any known genetic component, with examples.
9) diagnostic criteria and testing methods.

The information does not need to be current or from a live database. Ensure the final summary is precise, evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative."
Anxiety Disorders,D001008, Do not include any citations or references.
"Lymphoma, T-Cell, Peripheral",D016411,
Prostatic Neoplasms,D011471," In addition, it is not necessary to include references, but you should cite any sources used.
Your answer should be in the form of a single paragraph, with at least 10 sentences, and a word limit of 150-200 words."
Hypogonadism,D007006,
Coronary Artery Disease,D003324,"
Due by 11:59pm ET, Friday 20 th May 2022."
Stevens-Johnson Syndrome,D013262,"
The response should be formatted as a single paragraph, in Times New Roman font, 11 point, double spaced.
This is a 10-point assessment. The response will be graded on the clarity and depth of the information provided, the accuracy of the content, the ability to synthesize all the information into a coherent narrative, and the use of appropriate medical language.
The response will be assessed using the following marking scheme:
1) The response is clear and concise, with no obvious grammatical errors.
2) The response provides a summary of key information for the disease, including all of the points listed above.
3) The response provides accurate information for the disease, including all of the points listed above.
4) The response synthesizes the information into a coherent narrative.
5) The response uses appropriate medical language.
6) The response provides information for the inheritance patterns and genetic component of the disease.
7) The response provides information for the diagnostic criteria and testing methods of the disease.
8) The response provides information for the associated comorbidities and complications.
9) The response provides information for the associated drugs and their mechanisms of action.
10)"
"Rhabdomyosarcoma, Alveolar",D018232, 
"Scleroderma, Systemic",D012595,
Hepatitis C,D006526,
Addison Disease,D000224,"
In addition, please include a separate section entitled ""Reference"" that includes all the citations that are used in the narrative.
You will be required to submit a separate ""Reference"" section in a separate document, which will not be included in the word count. The ""Reference"" section should be in the following format: "
Pancreatic Neoplasms,D010190,"
This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).
Pancreatic neoplasms are a group of malignant tumors that occur in the pancreas. The majority of pancreatic neoplasms are pancreatic ductal adenocarcinomas (PDAC). Other common types of pancreatic neoplasms include neuroendocrine tumors, acinar cell carcinoma, pancreatic sarcomas, and mucinous cystic neoplasms.  The most common pancreatic neoplasms are pancreatic ductal adenocarcinoma (PDAC) and neuroendocrine tumors (NETs). PDAC is the most common pancreatic neoplasm, accounting for 85% of pancreatic malignancies. It is a highly aggressive and lethal malignancy.  The development of PDAC is a multistep process that involves genetic and epigenetic changes. Mutations in several genes, including KRAS, TP53, CDKN2A, S"
Familial Primary Pulmonary Hypertension,D065627," The full text of the disease entry should be available from OMIM or another publicly available source. The final summary should be submitted as a single PDF file.
Note: Please make sure you use the term 'Familial Primary Pulmonary Hypertension' in the title of the PDF file.
The PDF file must include:
1) A summary title.
2) The OMIM ID of the disease.
3) A brief introduction to the disease.
4) The summary text.
5) The name and affiliation of the author.
6) An email address for correspondence.
7) The word count.
8) Any other information as necessary.
Please ensure the PDF file conforms to the following specifications:
1) It must be in English.
2) It must be single-spaced with at least 11 point font.
3) It must be A4 size.
4) It must be in portrait orientation.
5) It must be without any hyperlinks.
6) It must include the OMIM ID in the title.
7) It must include the name and affiliation of the author in the title.
8) It must include a word count in the title.
Please submit your summary"
Staphylococcal Infections,D013203, The information in the response may be presented in a tabular or diagrammatic form.
Ovarian Neoplasms,D010051," Use the citation format that is consistent with the course.
The information should be written in past tense.
Ensure you use the latest information available (not from an online database that is out-of-date) and cite the source(s).
Provide at least one citation per piece of information, but no more than two citations per sentence.
Provide your references in the correct format for your citation style, which is MEDLINE style for this assignment.
The references should be listed in alphabetical order. 
Ensure that the reference list is up to date and includes all references used within the assignment.
Provide the references for each of the 10 key information.
The references should be listed in alphabetical order."
"Anemia, Hemolytic, Autoimmune",D000744," Do not use references.
Anemia, Hemolytic, Autoimmune, or Hemolytic Anemia, Autoimmune, is a disease with multiple clinical presentations, where the red blood cells (RBCs) are destroyed by the immune system. It can be inherited or acquired, and it is associated with many diseases, such as thalassemia and sickle cell anemia. The disease is caused by the destruction of RBCs by autoantibodies, resulting in anemia. The symptoms include fatigue, pale skin, and shortness of breath. Treatment options include blood transfusions, immunosuppressants, and splenectomy. The disease is diagnosed by testing for hemoglobin, red blood cell count, and hemolytic anemia. Genetic mutations or environmental factors can cause autoimmune hemolytic anemia.
The mutations in the genes encoding for red blood cell proteins, such as the antigens on the surface of the RBCs, or the proteins involved in the destruction of the RBCs, can lead to the disease. The mutations can affect the structure or function of the proteins, leading to the production of abnormal"
Gallbladder Diseases,D005705," The content should be 150-200 words long, not including references. "
Ischemic Stroke,D000083242,"
Please use the following references for the information in the paragraph:
- "
Aspergillosis,D001228,"
The response should not exceed 150 words in length. "
Alzheimer Disease,D000544," The summary should be no more than 1500 words.
The information does not need to be current or from a live database. Ensure the final summary is precise, evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative. The summary should be no more than 1500 words.
Disease: Alzheimer Disease (AD)
OMIM ID: D000544
Alzheimer disease (AD) is a common neurodegenerative disease that is characterized by memory loss and cognitive decline. The disease is progressive and usually fatal. It was first described by German psychiatrist and neuropathologist Alois Alzheimer in 1906 .
The disease is associated with mutations in APP, PSEN1, and PSEN2, which are genes encoding amyloid precursor protein (APP), presenilin 1, and presenilin 2, respectively. The mutations in these genes lead to an accumulation of beta-amyloid (Aβ), a neurotoxic peptide that is generated from APP by proteolytic cleavage. The accumulation of"
Otitis Media,D010033," The summary should be at least 100 words in length.
This assignment is a short summary of a disease in the OMIM database.
The summary should be at least 100 words in length.
The assignment is worth 10% of the final grade. "
Alcoholism,D000437, 
Obesity,D009765," The final summary should be formatted as a paragraph, single-spaced, with a minimum of 150 words, and maximum of 250 words. The reference list should be included."
"Hypertension, Pulmonary",D006976,
"Glycosuria, Renal",D006030,"
The response should include 10 key information as follows:
1) associated genes, proteins, or mutations, with at least 3 examples.
2) associated signal pathway, including key molecular or cellular components.
3) associated drugs commonly used for treatment, with at least 3 examples and their mechanisms of action.
4) any linked comorbidities and complications.
5) nature of the disease.
6) typical clinical symptoms and signs.
7) types of the disease.
8) inheritance patterns and any known genetic component, with examples.
9) diagnostic criteria and testing methods.

The information does not need to be current or from a live database. Ensure the final summary is precise, evidence-based, suitable for a professional medical audience, and condense all the points above into a coherent narrative.
"
Herpes Simplex,D006561,"
The disease Herpes Simplex (HS) is a common contagious infection caused by the Herpes Simplex Virus (HSV). The HSV is a DNA virus, and its genome encodes 11 genes that are transcribed into 10 proteins. HSV proteins play an important role in viral replication and spread in the body. The HSV virus can infect the human body in two forms: HSV-1 and HSV-2. HSV-1 typically causes oral herpes, while HSV-2 typically causes genital herpes. HSV-1 can also cause genital herpes, while HSV-2 can cause oral herpes.
The HSV virus can enter the body through a small crack in the skin, mouth, or genitals. Once inside the body, the virus replicates rapidly, releasing new viral particles that can infect other cells. The virus can also remain dormant in the body for extended periods, reactivating when the immune system is weakened.
The HSV virus can be transmitted through direct contact with an infected person, or indirectly through contaminated objects or surfaces. Once infected, symptoms typically appear within 1-2 weeks and include pain"
"Spasms, Infantile",D013036,"
The response is expected to be between 200-400 words."
Uterine Cervical Neoplasms,D002583,"
Please use the following template as a guide when writing your report. This is not an exhaustive list of information to include, and you may exclude any items that you do not feel are necessary. Please do not include any references in the body of the report.
Title: D002583: Uterine Cervical Neoplasms (UCN) Background: UCN is a type of cancer that originates in the uterine cervix, which is the lower part of the uterus that connects the uterus to the vagina. UCN can be either benign (non-cancerous) or malignant (cancerous), with the latter being more common. The main symptoms of UCN include abnormal vaginal bleeding, pelvic pain, and vaginal discharge. Other symptoms may include weight loss, fatigue, and pelvic pressure. Treatment options for UCN include surgery, radiation therapy, and chemotherapy. In some cases, a combination of these treatments may be necessary. It is important for women to undergo regular screening for UCN, as early detection and treatment can improve prognosis.
Causes: There are several risk factors associated with"
"Purpura, Thrombocytopenic, Idiopathic",D016553,"
Congenital purpura, thrombocytopenic, and idiopathic is a rare autosomal recessive disorder characterized by a triad of symptoms including purpuric rash, thrombocytopenia, and bleeding disorder. The disorder affects the skin, gastrointestinal tract, and mucous membranes, causing painful purpuric macules or petechiae that may evolve into ecchymoses. The skin lesions may appear anywhere on the body, including the face, hands, feet, and trunk. The skin lesions are often accompanied by fever, lethargy, and anemia. Thrombocytopenia is another symptom that occurs in the disorder, characterized by a decreased number of platelets in the blood. This can lead to bleeding in various parts of the body, including the nose, mouth, and gastrointestinal tract. The bleeding may be mild to severe, and it can occur spontaneously or after minor trauma. The disorder typically presents in early infancy and is often fatal within a few months without treatment.
The disorder"
Lichen Planus,D008010," This paragraph should be a single paragraph and written in the past tense.
The following is a brief paragraph on the disease 'Lichen Planus' as a template for the paragraphs for all the diseases:
Lichen Planus (LP) is a chronic inflammatory skin disease characterized by pruritic, flat-topped papules, usually on the extremities, neck, and trunk. The papules may be surrounded by a thin, violet-colored ring. The disease can also affect the nails, scalp, and mucous membranes. The exact cause of LP is unknown, but it is thought to be an autoimmune condition triggered by a variety of factors, including stress, hepatitis C infection, and certain medications. The disease is diagnosed clinically by the characteristic appearance of the skin lesions and is confirmed by a skin biopsy. Treatment options include topical corticosteroids, oral antihistamines, and immunosuppressive drugs such as methotrexate or cyclosporine. While the disease is not life-threatening, it can significantly impact a patient's quality of life. "
Chorea,D002819,"
The following paragraphs are the summary of the disease 'Chorea' associated with OMIM ID 'D002819' by the authors. The disease 'Chorea' associated with OMIM ID 'D002819' is a neurological disorder characterized by uncontrolled, irregular, and involuntary movements that are commonly seen in the head, neck, and face. These movements can be seen in the arms, legs, and trunk, and are often accompanied by mild to severe cognitive impairment. The disease is caused by the mutation of the Huntingtin gene (HTT) on chromosome 4, which leads to the production of a mutant form of the Huntingtin protein. The mutant form of the protein forms aggregates in the brain, leading to the death of the neurons and the loss of the brain's ability to control movement and cognition. The disease is inherited in an autosomal dominant manner, and individuals who inherit one copy of the mutant gene from a parent have a 50% chance of developing the disease. However, the age of onset and the severity of the disease can vary greatly among individuals, and there is currently no cure or effective treatment for"
